entry_ts,exit_ts,label,exit_type,pnl_1x,entry_price,sl,tp,gap_atr_ratio,gap_dollars,gap_m1_atr_ratio,h1_atr,m1_atr,h1_vol_pct,hour_et,dow_et,m1_bars_since_sweep,m1_bars_since_choch
2025-05-01T15:57:00+00:00,2025-05-01T17:01:00+00:00,0,TIME,65.0,19981.0,20122.25,19811.5,0.340618,56.5,1.850942,82.9375,15.2625,0.4333,11,3,177,177
2025-05-06T02:07:00+00:00,2025-05-06T03:43:00+00:00,0,TIME,-48.5,19958.0,20036.75,19863.5,0.284424,31.5,1.990521,55.375,7.9125,0.0167,22,0,67,67
2025-05-07T15:49:00+00:00,2025-05-07T16:53:00+00:00,0,TIME,-112.5,19826.0,19957.25,19668.5,0.343924,52.5,1.560178,76.325,16.825,0.3833,11,2,49,34
2025-05-07T18:07:00+00:00,2025-05-07T19:33:00+00:00,0,TIME,58.0,19810.25,19942.75,19651.25,0.340946,53.0,0.999529,77.725,26.5125,0.4333,14,2,187,172
2025-05-16T14:30:00+00:00,2025-05-16T16:34:00+00:00,0,TIME,-11.5,21429.5,21540.75,21296.0,0.451204,44.5,1.568282,49.3125,14.1875,0.0333,10,4,265,45
2025-05-21T12:32:00+00:00,2025-05-21T13:53:00+00:00,0,SL,-172.5,21316.0,21402.25,21212.5,0.296966,34.5,1.971429,58.0875,8.75,0.3583,8,2,208,167
2025-05-21T18:13:00+00:00,2025-05-21T19:10:00+00:00,1,TP,228.0,21235.0,21330.0,21121.0,0.32604,38.0,0.744368,58.275,25.525,0.3417,14,2,253,43
2025-05-22T12:00:00+00:00,2025-05-22T13:41:00+00:00,0,TIME,-96.5,21121.0,21234.75,20984.5,0.324536,45.5,1.80198,70.1,12.625,0.7,8,3,0,0
2025-05-23T11:58:00+00:00,2025-05-23T14:31:00+00:00,0,TIME,-182.0,20868.5,21001.0,20709.5,0.373568,53.0,0.63114,70.9375,41.9875,0.5833,7,4,58,28
2025-05-28T18:53:00+00:00,2025-05-28T19:58:00+00:00,0,TIME,159.0,21463.0,21584.25,21317.5,0.65964,48.5,2.621622,36.7625,9.25,0.0667,14,2,293,278
2025-05-28T20:02:00+00:00,2025-05-28T20:23:00+00:00,0,SL,-190.0,21359.75,21454.75,21245.75,0.454274,38.0,1.046111,41.825,18.1625,0.1583,16,2,4,2
2025-05-30T13:52:00+00:00,2025-05-30T14:13:00+00:00,0,SL,-190.0,21276.75,21371.75,21162.75,0.307319,38.0,0.739659,61.825,25.6875,0.4667,9,4,171,97
2025-05-30T14:59:00+00:00,2025-05-30T16:01:00+00:00,0,TIME,110.0,21368.0,21458.0,21260.0,0.285771,36.0,1.171684,62.9875,15.3625,0.4833,10,4,238,164
2025-05-30T16:30:00+00:00,2025-05-30T18:37:00+00:00,0,TIME,-133.0,21206.5,21337.75,21049.0,0.386883,52.5,1.335878,67.85,19.65,0.5083,12,4,29,0
2025-06-18T12:39:00+00:00,2025-06-18T13:52:00+00:00,0,TIME,-19.5,21996.0,22073.5,21903.0,0.280861,31.0,2.006472,55.1875,7.725,0.0417,8,2,206,98
2025-06-18T18:04:00+00:00,2025-06-18T18:58:00+00:00,1,TP,228.0,22030.5,22125.5,21916.5,0.35112,38.0,1.179209,54.1125,16.1125,0.0417,14,2,244,34
2025-06-18T19:29:00+00:00,2025-06-18T20:37:00+00:00,0,TIME,13.5,21962.5,22063.75,21841.0,0.343366,40.5,0.877573,58.975,23.075,0.1417,15,2,29,29
2025-06-20T15:02:00+00:00,2025-06-20T15:37:00+00:00,0,SL,-205.0,21805.5,21908.0,21682.5,0.332455,41.0,0.896665,61.6625,22.8625,0.2417,11,4,62,2
2025-06-20T15:55:00+00:00,2025-06-20T17:11:00+00:00,0,TIME,14.5,21877.5,21958.75,21780.0,0.263531,32.5,1.256039,61.6625,12.9375,0.2417,11,4,115,55
2025-06-25T15:34:00+00:00,2025-06-25T16:36:00+00:00,0,TIME,48.5,22447.75,22487.75,22399.75,0.27814,16.0,0.774818,28.7625,10.325,0.0167,11,2,272,19
2025-06-27T13:30:00+00:00,2025-06-27T13:56:00+00:00,0,SL,-82.5,22714.5,22755.75,22665.0,0.25721,16.5,1.120543,32.075,7.3625,0.0583,9,4,30,15
