pnl,win,bars_held,exit_type,timestamp,direction
-16.3,0,2,sl,2026-04-24T08:51:00+00:00,bullish
50.45,1,25,tp,2026-04-24T20:08:00+00:00,bullish
-13.8,0,1,sl,2026-04-27T08:06:00+00:00,bullish
-11.3,0,6,sl,2026-04-30T08:16:00+00:00,bullish
-29.3,0,1,sl,2026-04-30T15:36:00+00:00,bullish
-16.3,0,2,sl,2026-04-30T19:51:00+00:00,bullish
-37.3,0,35,sl,2026-05-01T15:51:00+00:00,bullish
-6.3,0,1,sl,2026-05-04T19:18:00+00:00,bullish
-26.3,0,1,sl,2025-11-05T08:07:00+00:00,bearish
-16.3,0,2,sl,2025-11-06T08:09:00+00:00,bearish
-59.3,0,1,sl,2025-11-07T15:11:00+00:00,bearish
-10.3,0,7,sl,2025-11-10T19:12:00+00:00,bearish
9.45,1,1,tp,2025-11-12T08:03:00+00:00,bearish
131.7,1,30,tp,2025-11-12T15:41:00+00:00,bearish
67.45,1,30,tp,2025-11-12T19:37:00+00:00,bearish
-21.8,0,3,sl,2025-11-13T19:59:00+00:00,bearish
-47.8,0,4,sl,2025-11-14T08:55:00+00:00,bearish
-11.8,0,3,sl,2025-11-20T08:07:00+00:00,bearish
204.95,1,2,tp,2025-11-21T15:26:00+00:00,bearish
-46.8,0,3,sl,2025-11-24T08:15:00+00:00,bearish
-5.3,0,2,sl,2025-11-26T08:16:00+00:00,bearish
138.7,1,15,tp,2025-11-26T15:10:00+00:00,bearish
34.7,1,7,tp,2025-11-26T19:43:00+00:00,bearish
-27.8,0,1,sl,2025-12-01T08:36:00+00:00,bearish
99.7,1,8,tp,2025-12-01T15:41:00+00:00,bearish
503.7,1,6,tp,2025-12-01T19:04:00+00:00,bearish
-50.3,0,13,sl,2025-12-02T08:18:00+00:00,bearish
-35.3,0,2,sl,2025-12-02T19:12:00+00:00,bearish
508.45,1,7,tp,2025-12-03T08:05:00+00:00,bearish
-6.3,0,2,sl,2025-12-03T19:15:00+00:00,bearish
492.7,1,21,tp,2025-12-04T08:20:00+00:00,bearish
-36.8,0,1,sl,2025-12-04T15:29:00+00:00,bearish
-8.3,0,1,sl,2025-12-04T19:05:00+00:00,bearish
-36.3,0,18,sl,2025-12-05T08:04:00+00:00,bearish
525.2,1,20,tp,2025-12-05T19:12:00+00:00,bearish
506.95,1,6,tp,2025-12-08T08:22:00+00:00,bearish
67.2,1,15,tp,2025-12-08T15:34:00+00:00,bearish
-53.3,0,6,sl,2025-12-08T19:15:00+00:00,bearish
-31.8,0,1,sl,2025-12-09T08:24:00+00:00,bearish
-17.8,0,6,sl,2025-12-10T08:01:00+00:00,bearish
-38.8,0,6,sl,2025-12-11T08:45:00+00:00,bearish
493.2,1,7,tp,2025-12-12T08:22:00+00:00,bearish
-13.8,0,4,sl,2025-12-12T19:48:00+00:00,bearish
-28.3,0,6,sl,2025-12-15T15:38:00+00:00,bearish
-39.3,0,15,sl,2025-12-16T15:32:00+00:00,bearish
-27.8,0,2,sl,2025-12-18T20:04:00+00:00,bearish
-41.3,0,28,sl,2025-12-22T15:47:00+00:00,bearish
73.2,1,28,tp,2025-12-31T15:27:00+00:00,bearish
25.7,1,12,tp,2026-01-05T19:13:00+00:00,bearish
22.2,1,4,tp,2026-01-07T19:03:00+00:00,bearish
-46.8,0,2,sl,2026-01-08T15:07:00+00:00,bearish
-57.3,0,8,sl,2026-01-09T15:15:00+00:00,bearish
-32.3,0,1,sl,2026-01-15T08:10:00+00:00,bearish
-58.8,0,4,sl,2026-01-15T15:58:00+00:00,bearish
-15.3,0,1,sl,2026-01-15T19:17:00+00:00,bearish
-34.8,0,2,sl,2026-01-19T15:01:00+00:00,bearish
-10.3,0,1,sl,2026-01-20T08:12:00+00:00,bearish
-27.3,0,6,sl,2026-01-22T19:08:00+00:00,bearish
37.95,1,8,tp,2026-01-23T08:07:00+00:00,bearish
-12.8,0,11,sl,2026-01-26T19:30:00+00:00,bearish
78.2,1,16,tp,2026-01-28T15:17:00+00:00,bearish
-31.8,0,20,sl,2026-01-28T19:05:00+00:00,bearish
91.2,1,3,tp,2026-01-30T08:06:00+00:00,bearish
168.95,1,22,tp,2026-01-30T15:08:00+00:00,bearish
120.45,1,14,tp,2026-01-30T19:35:00+00:00,bearish
6.95,1,1,tp,2026-02-02T19:51:00+00:00,bearish
-21.3,0,8,sl,2026-02-03T08:05:00+00:00,bearish
