pnl,win,bars_held,exit_type,timestamp,direction
-29.3,0,21,sl,2025-10-08 09:05:00,bullish
-34.3,0,25,sl,2025-10-08 09:43:00,bullish
-24.3,0,6,sl,2025-10-08 11:10:00,bullish
-41.8,0,13,sl,2025-10-08 11:35:00,bearish
50.7,1,7,tp,2025-10-08 14:45:00,bearish
-54.3,0,45,sl,2025-10-08 22:21:00,bearish
103.2,1,77,tp,2025-10-09 18:20:00,bullish
35.7,1,19,tp,2025-10-09 19:41:00,bullish
103.2,1,97,tp,2025-10-09 22:12:00,bullish
-25.05,0,120,time,2025-10-10 06:40:00,bearish
105.7,1,50,tp,2025-10-10 14:08:00,bearish
225.7,1,14,tp,2025-10-10 16:37:00,bearish
218.2,1,24,tp,2025-10-10 17:14:00,bullish
120.7,1,56,tp,2025-10-10 17:49:00,bearish
170.7,1,27,tp,2025-10-10 19:01:00,bearish
-94.3,0,4,sl,2025-10-10 19:42:00,bearish
68.2,1,7,tp,2025-10-12 23:19:00,bullish
148.2,1,7,tp,2025-10-13 13:46:00,bullish
-56.8,0,1,sl,2025-10-13 16:22:00,bullish
115.7,1,8,tp,2025-10-14 15:39:00,bullish
110.95,1,120,time,2025-10-14 16:24:00,bullish
-91.8,0,62,sl,2025-10-14 18:36:00,bullish
-86.8,0,53,sl,2025-10-15 06:20:00,bearish
-79.3,0,42,sl,2025-10-15 08:23:00,bearish
108.2,1,23,tp,2025-10-15 18:19:00,bullish
-61.8,0,44,sl,2025-10-15 23:35:00,bullish
90.7,1,7,tp,2025-10-16 15:19:00,bearish
125.7,1,6,tp,2025-10-16 15:36:00,bearish
190.7,1,57,tp,2025-10-16 17:08:00,bearish
-76.05,0,120,time,2025-10-16 18:23:00,bearish
-59.3,0,4,sl,2025-10-16 22:40:00,bullish
-66.8,0,7,sl,2025-10-16 23:24:00,bullish
83.2,1,21,tp,2025-10-16 23:49:00,bullish
113.2,1,42,tp,2025-10-17 08:41:00,bullish
105.7,1,19,tp,2025-10-17 11:47:00,bullish
-226.8,0,23,sl,2025-10-17 14:18:00,bullish
280.7,1,50,tp,2025-10-17 14:47:00,bearish
-109.3,0,30,sl,2025-10-17 16:21:00,bearish
-99.3,0,10,sl,2025-10-17 17:51:00,bearish
-84.3,0,22,sl,2025-10-17 18:50:00,bearish
-116.8,0,84,sl,2025-10-17 19:36:00,bearish
-7.8,0,120,time,2025-10-21 06:09:00,bearish
-29.3,0,62,sl,2025-10-21 09:16:00,bullish
60.7,1,85,tp,2025-10-22 07:18:00,bearish
-31.8,0,22,sl,2025-10-22 09:53:00,bearish
35.7,1,26,tp,2025-10-22 11:12:00,bearish
-49.3,0,13,sl,2025-10-22 12:02:00,bearish
-56.8,0,4,sl,2025-10-22 13:27:00,bullish
138.2,1,13,tp,2025-10-22 15:35:00,bullish
-119.3,0,3,sl,2025-10-22 16:28:00,bullish
-181.8,0,48,sl,2025-10-22 16:37:00,bullish
170.7,1,62,tp,2025-10-22 18:04:00,bullish
58.2,1,7,tp,2025-10-22 22:09:00,bullish
35.7,1,33,tp,2025-10-23 08:11:00,bearish
48.2,1,23,tp,2025-10-23 08:48:00,bearish
83.2,1,109,tp,2025-10-23 09:14:00,bearish
63.2,1,5,tp,2025-10-23 11:07:00,bearish
108.2,1,64,tp,2025-10-23 11:16:00,bearish
-51.8,0,6,sl,2025-10-23 13:02:00,bullish
-106.8,0,14,sl,2025-10-23 13:17:00,bearish
-114.3,0,19,sl,2025-10-23 14:01:00,bullish
65.7,1,53,tp,2025-10-23 16:09:00,bullish
4.95,1,120,time,2025-10-23 17:41:00,bullish
-36.8,0,10,sl,2025-10-24 08:37:00,bearish
-51.8,0,2,sl,2025-10-24 13:35:00,bearish
128.2,1,60,tp,2025-10-24 13:57:00,bearish
-38.8,0,120,time,2025-10-24 15:37:00,bearish
23.2,1,13,tp,2025-10-27 07:48:00,bearish
-36.8,0,19,sl,2025-10-27 08:28:00,bearish
48.2,1,21,tp,2025-10-27 11:28:00,bearish
25.7,1,8,tp,2025-10-27 19:15:00,bearish
15.7,1,7,tp,2025-10-28 09:54:00,bullish
28.2,1,6,tp,2025-10-28 11:16:00,bullish
-21.8,0,5,sl,2025-10-28 12:08:00,bearish
-51.8,0,10,sl,2025-10-28 13:21:00,bearish
-81.8,0,120,time,2025-10-28 13:36:00,bullish
83.2,1,37,tp,2025-10-29 14:14:00,bearish
88.2,1,43,tp,2025-10-29 15:06:00,bearish
-59.3,0,19,sl,2025-10-29 16:08:00,bearish
60.7,1,35,tp,2025-10-29 16:52:00,bearish
65.7,1,7,tp,2025-10-29 18:09:00,bearish
198.2,1,33,tp,2025-10-29 19:28:00,bullish
-73.3,0,120,time,2025-10-29 22:09:00,bearish
63.2,1,13,tp,2025-10-30 00:19:00,bullish
-41.8,0,3,sl,2025-10-30 01:34:00,bearish
-74.3,0,30,sl,2025-10-30 06:35:00,bullish
83.2,1,33,tp,2025-10-30 07:25:00,bullish
80.7,1,64,tp,2025-10-30 08:34:00,bearish
-81.8,0,92,sl,2025-10-30 09:45:00,bearish
-131.8,0,44,sl,2025-10-30 18:33:00,bullish
-81.8,0,5,sl,2025-10-30 19:55:00,bullish
-41.8,0,14,sl,2025-11-03 02:09:00,bearish
