root,symbol,observations,first,last,internal_missing,zero_volume,zero_oi,repeated_close_steps,longest_equal_close_run,repeat_flag_rows,after_broker_expiry
HG,HGH26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
HG,HGJ25,80,2025-01-02T22:00:00Z,2025-04-28T21:00:00Z,0,0,0,0,1,0,0
HG,HGJ26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,73,0,2,2,0,0
HG,HGK25,101,2025-01-02T22:00:00Z,2025-05-28T21:00:00Z,0,0,0,0,1,0,0
HG,HGK26,250,2025-01-03T22:00:00Z,2025-12-31T22:00:00Z,0,2,0,2,2,0,0
HG,HGM25,121,2025-01-02T22:00:00Z,2025-06-26T21:00:00Z,0,0,0,0,1,0,0
HG,HGM26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,77,0,2,2,0,0
HG,HGN25,143,2025-01-02T22:00:00Z,2025-07-29T21:00:00Z,0,0,0,1,2,0,0
HG,HGN26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,20,0,1,2,0,0
HG,HGQ25,164,2025-01-02T22:00:00Z,2025-08-27T21:00:00Z,0,0,0,1,2,0,0
HG,HGQ26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,132,29,1,2,0,0
HG,HGU25,185,2025-01-02T22:00:00Z,2025-09-26T21:00:00Z,0,0,0,1,2,0,0
HG,HGU26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,28,0,1,2,0,0
HG,HGV25,208,2025-01-02T22:00:00Z,2025-10-29T21:00:00Z,0,2,0,1,2,0,0
HG,HGV26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,139,30,1,2,0,0
HG,HGX25,227,2025-01-02T22:00:00Z,2025-11-25T22:00:00Z,0,3,0,0,1,0,0
HG,HGX26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,161,43,0,1,0,0
HG,HGZ25,249,2025-01-02T22:00:00Z,2025-12-29T22:00:00Z,0,0,0,1,2,0,0
HG,HGZ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,31,0,1,2,0,0
HO,HOF26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
HO,HOF27,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,37,0,0,1,0,0
HO,HOG25,21,2025-01-02T22:00:00Z,2025-01-31T22:00:00Z,0,0,0,0,1,0,0
HO,HOG26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
HO,HOH25,40,2025-01-02T22:00:00Z,2025-02-28T22:00:00Z,0,0,0,0,1,0,0
HO,HOH26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
HO,HOJ25,61,2025-01-02T22:00:00Z,2025-03-31T21:00:00Z,0,0,0,0,1,0,0
HO,HOJ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,3,2,0,0
HO,HOK25,82,2025-01-02T22:00:00Z,2025-04-30T21:00:00Z,0,0,0,0,1,0,0
HO,HOK26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
HO,HOM25,103,2025-01-02T22:00:00Z,2025-05-30T21:00:00Z,0,0,0,1,2,0,0
HO,HOM26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
HO,HON25,123,2025-01-02T22:00:00Z,2025-06-30T21:00:00Z,0,0,0,1,2,0,0
HO,HON26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,8,0,1,2,0,0
HO,HOQ25,145,2025-01-02T22:00:00Z,2025-07-31T21:00:00Z,0,0,0,1,2,0,0
HO,HOQ26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,19,0,0,1,0,0
HO,HOU25,166,2025-01-02T22:00:00Z,2025-08-29T21:00:00Z,0,0,0,0,1,0,0
HO,HOU26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,21,0,0,1,0,0
HO,HOV25,187,2025-01-02T22:00:00Z,2025-09-30T21:00:00Z,0,0,0,0,1,0,0
HO,HOV26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,22,0,0,1,0,0
HO,HOX25,210,2025-01-02T22:00:00Z,2025-10-31T21:00:00Z,0,0,0,1,2,0,0
HO,HOX26,250,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,1,21,0,1,2,0,0
HO,HOZ25,229,2025-01-02T22:00:00Z,2025-11-28T22:00:00Z,0,0,0,1,2,0,0
HO,HOZ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,2,0,1,2,0,0
LE,LCG25,39,2025-01-02T19:05:00Z,2025-02-28T19:05:00Z,1,0,0,1,2,0,0
LE,LCG26,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,0,0,2,2,0,0
LE,LCJ25,82,2025-01-02T19:05:00Z,2025-04-30T18:05:00Z,0,0,0,1,2,0,0
LE,LCJ26,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,0,0,2,2,0,0
LE,LCM25,123,2025-01-02T19:05:00Z,2025-06-30T18:05:00Z,0,0,0,2,2,0,0
LE,LCM26,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,0,1,1,2,0,0
LE,LCQ25,166,2025-01-02T19:05:00Z,2025-08-29T18:05:00Z,0,0,0,1,2,0,0
LE,LCQ26,212,2025-02-28T19:05:00Z,2025-12-31T19:05:00Z,0,1,2,2,2,0,0
LE,LCV25,210,2025-01-02T19:05:00Z,2025-10-31T18:05:00Z,0,0,0,3,2,0,0
LE,LCV26,170,2025-04-30T18:05:00Z,2025-12-31T19:05:00Z,0,1,2,2,2,0,0
LE,LCZ25,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,0,0,1,2,0,0
LE,LCZ26,144,2025-06-06T18:05:00Z,2025-12-31T19:05:00Z,0,5,2,1,2,0,0
HE,LHG25,30,2025-01-02T19:05:00Z,2025-02-14T19:05:00Z,1,0,0,2,2,0,0
HE,LHG26,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,0,0,8,2,0,0
HE,LHJ25,71,2025-01-02T19:05:00Z,2025-04-14T18:05:00Z,0,0,0,1,2,0,0
HE,LHJ26,251,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,0,5,0,7,2,0,0
HE,LHK25,92,2025-01-02T19:05:00Z,2025-05-14T18:05:00Z,0,0,0,1,2,0,0
HE,LHK26,247,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,4,83,79,6,3,1,0
HE,LHM25,113,2025-01-02T19:05:00Z,2025-06-13T18:05:00Z,0,0,0,2,2,0,0
HE,LHM26,250,2025-01-02T19:05:00Z,2025-12-31T19:05:00Z,1,40,20,9,2,0,0
HE,LHN25,133,2025-01-02T19:05:00Z,2025-07-15T18:05:00Z,0,0,0,1,2,0,0
HE,LHN26,218,2025-02-14T19:05:00Z,2025-12-31T19:05:00Z,3,37,10,2,2,0,0
HE,LHQ25,155,2025-01-02T19:05:00Z,2025-08-14T18:05:00Z,0,0,0,0,1,0,0
