date,dir,gap_pct,outcome,pnl_usd,net
2023-01-30,long,1.186,time,-133.5,-138.95
2023-02-02,short,2.088,time,-320.5,-325.95
2023-02-06,long,1.019,time,89.0,83.55
2023-02-08,long,0.581,stop,-297.0,-302.45
2023-02-09,short,1.439,fill,361.0,355.55
2023-02-15,long,0.667,fill,168.5,163.05
2023-02-16,long,1.551,time,249.5,244.05
2023-02-23,short,1.353,fill,327.0,321.55
2023-02-27,short,1.147,time,20.0,14.55
2023-03-02,long,0.899,time,141.0,135.55
2023-03-21,short,0.676,time,-20.5,-25.95
2023-03-23,short,0.866,time,-227.5,-232.95
2023-03-29,short,1.22,time,-17.5,-22.95
2023-03-30,short,0.766,time,19.5,14.05
2023-04-03,long,0.789,time,-63.0,-68.45
2023-04-06,long,0.518,fill,135.5,130.05
2023-04-10,long,0.977,time,135.5,130.05
2023-04-12,short,0.641,fill,167.5,162.05
2023-04-13,short,0.519,stop,-269.0,-274.45
2023-04-18,short,0.73,fill,192.5,187.05
2023-04-19,long,0.888,fill,234.5,229.05
2023-04-20,long,0.996,time,235.0,229.55
2023-04-26,short,1.02,time,-17.5,-22.95
2023-04-27,short,1.103,time,-271.0,-276.45
2023-05-09,long,0.551,time,15.0,9.55
2023-05-10,short,0.803,time,86.5,81.05
2023-05-24,long,0.65,time,-76.0,-81.45
2023-05-25,short,2.264,time,-49.5,-54.95
2023-06-28,long,0.511,fill,154.5,149.05
2023-07-06,long,1.137,time,61.0,55.55
2023-07-12,short,1.025,time,27.5,22.05
2023-07-13,short,0.917,time,-139.5,-144.95
2023-07-20,long,0.81,time,-270.0,-275.45
2023-07-27,short,1.465,time,6.5,1.0499999999999998
2023-08-02,long,0.964,time,-373.5,-378.95
2023-08-03,long,0.794,fill,246.0,240.55
2023-08-07,short,0.513,fill,157.5,152.05
2023-08-08,long,0.773,time,-200.0,-205.45
2023-08-10,short,0.84,time,190.5,185.05
2023-08-22,short,0.639,fill,191.5,186.05
2023-08-24,short,1.004,fill,305.0,299.55
2023-08-28,short,0.821,time,68.5,63.05
2023-12-04,long,1.026,time,3.5,-1.9500000000000002
2023-12-05,long,0.572,fill,181.5,176.05
2023-12-06,short,0.791,fill,251.5,246.05
2023-12-21,short,0.899,time,188.0,182.55
2024-01-02,long,0.842,time,-288.0,-293.45
2024-01-03,long,0.697,time,-17.0,-22.45
2024-01-04,long,0.526,fill,174.0,168.55
2024-01-09,long,0.793,fill,266.5,261.05
2024-01-17,long,0.872,time,-6.0,-11.45
2024-01-18,short,0.704,time,-11.0,-16.45
2024-01-22,short,0.513,time,86.0,80.55
2024-01-24,short,0.851,time,-206.0,-211.45
2024-01-25,short,0.612,time,144.5,139.05
2024-01-31,long,1.106,time,-51.5,-56.95
2024-02-07,short,0.685,time,-81.0,-86.45
2024-02-13,long,1.882,time,96.5,91.05
2024-02-14,short,0.639,time,23.5,18.05
2024-02-21,long,0.573,time,-39.5,-44.95
2024-02-22,short,2.003,time,-257.0,-262.45
2024-02-28,long,0.505,time,-16.0,-21.45
2024-02-29,short,0.64,fill,229.5,224.05
2024-03-05,long,0.716,time,-338.0,-343.45
2024-03-06,short,0.928,time,-51.5,-56.95
2024-03-18,short,1.227,time,35.5,30.05
2024-03-21,short,1.17,time,6.0,0.5499999999999998
2024-03-25,long,0.68,time,132.0,126.55
