ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-26T18:00:28Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:28Z,MHGU26,6.1915,6.1925,2,3,6.191,0.001000000000000334
2026-06-26T18:00:33Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:33Z,MHGU26,6.1915,6.1925,2,3,6.1915,0.001000000000000334
2026-06-26T18:00:39Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:39Z,MHGU26,6.191,6.192,2,3,6.192,0.001000000000000334
2026-06-26T18:00:44Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:44Z,MHGU26,6.191,6.192,2,3,6.192,0.001000000000000334
2026-06-26T18:00:49Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:49Z,MHGU26,6.191,6.192,4,1,6.192,0.001000000000000334
2026-06-26T18:00:55Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:55Z,MHGU26,6.191,6.192,4,2,6.192,0.001000000000000334
2026-06-26T18:01:00Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:00Z,MHGU26,6.191,6.192,3,3,6.192,0.001000000000000334
2026-06-26T18:01:05Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:05Z,MHGU26,6.192,6.193,1,3,6.192,0.0009999999999994458
2026-06-26T18:01:11Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:11Z,MHGU26,6.192,6.193,3,3,6.192,0.0009999999999994458
2026-06-26T18:01:16Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:16Z,MHGU26,6.1915,6.1925,3,3,6.192,0.001000000000000334
2026-06-26T18:01:21Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:21Z,MHGU26,6.1915,6.1925,4,1,6.192,0.001000000000000334
2026-06-26T18:01:27Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:27Z,MHGU26,6.192,6.193,1,4,6.192,0.0009999999999994458
2026-06-26T18:01:32Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:32Z,MHGU26,6.1915,6.1925,4,2,6.192,0.001000000000000334
2026-06-26T18:01:37Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:37Z,MHGU26,6.192,6.193,1,4,6.192,0.0009999999999994458
2026-06-26T18:01:43Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:43Z,MHGU26,6.1915,6.1925,4,2,6.192,0.001000000000000334
2026-06-26T18:01:48Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:48Z,MHGU26,6.1915,6.1925,3,3,6.192,0.001000000000000334
2026-06-26T18:01:53Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:53Z,MHGU26,6.1905,6.1915,3,3,6.192,0.0009999999999994458
2026-06-26T18:01:58Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:01:58Z,MHGU26,6.191,6.192,2,3,6.192,0.001000000000000334
2026-06-26T18:02:04Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:04Z,MHGU26,6.1915,6.1925,2,3,6.192,0.001000000000000334
2026-06-26T18:02:09Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:09Z,MHGU26,6.1915,6.1925,3,3,6.192,0.001000000000000334
2026-06-26T18:02:14Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:14Z,MHGU26,6.1915,6.1925,2,3,6.192,0.001000000000000334
2026-06-26T18:02:20Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:20Z,MHGU26,6.192,6.193,2,4,6.192,0.0009999999999994458
2026-06-26T18:02:25Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:25Z,MHGU26,6.192,6.193,2,3,6.192,0.0009999999999994458
2026-06-26T18:02:30Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:30Z,MHGU26,6.192,6.193,2,3,6.192,0.0009999999999994458
2026-06-26T18:02:36Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:36Z,MHGU26,6.1925,6.193,1,1,6.192,0.0004999999999997229
2026-06-26T18:02:41Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:41Z,MHGU26,6.1925,6.1935,2,3,6.193,0.001000000000000334
2026-06-26T18:02:46Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:46Z,MHGU26,6.192,6.193,2,3,6.193,0.0009999999999994458
2026-06-26T18:02:52Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:52Z,MHGU26,6.1915,6.1925,1,4,6.1925,0.001000000000000334
2026-06-26T18:02:57Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:02:57Z,MHGU26,6.1915,6.192,1,2,6.1925,0.0005000000000006111
2026-06-26T18:03:02Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
