day,contract,arm,arm_hash,delay,direction,entry_event_timestamp,entry_signal_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_signal_price,exit_signal_price,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason,entry_slope,entry_r2,entry_efficiency,entry_displacement,eligible,exclusion
2021-04-15,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-15T10:32:00-04:00,2021-04-15T10:30:00-04:00,2021-04-15T10:31:00-04:00,2021-04-15T16:00:00-04:00,2021-04-15T16:00:00-04:00,session_close_proxy,13988.75,14016.0,13991.0,14016.0,1,50.0,2.24,47.76,EOD_CLOSE_PROXY,1.6590100111234705,0.8319824887009245,0.25084745762711863,37.0,True,
2021-04-16,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-16T10:02:00-04:00,2021-04-16T10:00:00-04:00,2021-04-16T10:01:00-04:00,2021-04-16T16:00:00-04:00,2021-04-16T16:00:00-04:00,session_close_proxy,13963.25,14031.0,13959.25,14031.0,1,-143.5,2.24,-145.74,EOD_CLOSE_PROXY,-1.1129588431590656,0.577517147703223,0.34169278996865204,-54.5,True,
2021-04-19,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-19T12:02:00-04:00,2021-04-19T12:00:00-04:00,2021-04-19T12:01:00-04:00,2021-04-19T16:00:00-04:00,2021-04-19T16:00:00-04:00,session_close_proxy,13879.0,13903.75,13880.5,13903.75,1,-46.5,2.24,-48.74,EOD_CLOSE_PROXY,-0.22202447163515016,0.028194181597753765,0.20656634746922026,-37.75,True,
2021-04-20,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-20T11:02:00-04:00,2021-04-20T11:00:00-04:00,2021-04-20T11:01:00-04:00,2021-04-20T16:00:00-04:00,2021-04-20T16:00:00-04:00,session_close_proxy,13804.75,13799.25,13807.75,13799.25,1,17.0,2.24,14.76,EOD_CLOSE_PROXY,-2.912903225806452,0.851878976923612,0.35607094133697137,-65.25,True,
2021-04-21,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-21T12:02:00-04:00,2021-04-21T12:00:00-04:00,2021-04-21T12:01:00-04:00,2021-04-21T16:00:00-04:00,2021-04-21T16:00:00-04:00,session_close_proxy,13872.5,13918.5,13870.75,13918.5,1,95.5,2.24,93.26,EOD_CLOSE_PROXY,0.5864293659621802,0.4357390372861391,0.22872340425531915,21.5,True,
2021-04-22,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-22T14:02:00-04:00,2021-04-22T14:00:00-04:00,2021-04-22T14:01:00-04:00,2021-04-22T16:00:00-04:00,2021-04-22T16:00:00-04:00,session_close_proxy,13732.5,13750.25,13717.0,13750.25,1,-66.5,2.24,-68.74,EOD_CLOSE_PROXY,-4.446273637374861,0.930533392380123,0.3908918406072106,-103.0,True,
2021-04-23,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-23T10:02:00-04:00,2021-04-23T10:00:00-04:00,2021-04-23T10:01:00-04:00,2021-04-23T16:00:00-04:00,2021-04-23T16:00:00-04:00,session_close_proxy,13827.75,13924.5,13825.25,13924.5,1,198.5,2.24,196.26,EOD_CLOSE_PROXY,0.8867630700778643,0.4808387445666497,0.25512104283054005,34.25,True,
2021-04-26,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-26T15:02:00-04:00,2021-04-26T15:00:00-04:00,2021-04-26T15:01:00-04:00,2021-04-26T16:00:00-04:00,2021-04-26T16:00:00-04:00,session_close_proxy,14021.25,14013.5,14020.75,14013.5,1,-14.5,2.24,-16.740000000000002,EOD_CLOSE_PROXY,0.40200222469410457,0.7754800583825847,0.3103448275862069,13.5,True,
2021-04-27,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-27T10:02:00-04:00,2021-04-27T10:00:00-04:00,2021-04-27T10:01:00-04:00,2021-04-27T16:00:00-04:00,2021-04-27T16:00:00-04:00,session_close_proxy,13956.25,13951.0,13934.0,13951.0,1,-34.0,2.24,-36.24,EOD_CLOSE_PROXY,-2.6241935483870966,0.9244766047452196,0.5029821073558648,-63.25,True,
2021-05-03,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-03T11:32:00-04:00,2021-05-03T11:30:00-04:00,2021-05-03T11:31:00-04:00,2021-05-03T16:00:00-04:00,2021-05-03T16:00:00-04:00,session_close_proxy,13782.5,13790.75,13781.25,13790.75,1,-19.0,2.24,-21.240000000000002,EOD_CLOSE_PROXY,-2.199388209121246,0.783097188719411,0.32727272727272727,-54.0,True,
2021-05-04,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-04T10:02:00-04:00,2021-05-04T10:00:00-04:00,2021-05-04T10:01:00-04:00,2021-05-04T16:00:00-04:00,2021-05-04T16:00:00-04:00,session_close_proxy,13544.5,13543.25,13535.25,13543.25,1,-16.0,2.24,-18.240000000000002,EOD_CLOSE_PROXY,-4.254783092324805,0.9443890527171024,0.6143497757847534,-137.0,True,
2021-05-06,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-06T10:02:00-04:00,2021-05-06T10:00:00-04:00,2021-05-06T10:01:00-04:00,2021-05-06T12:32:00-04:00,2021-05-06T12:31:00-04:00,bar_open,13427.75,13580.75,13434.5,13583.25,1,-297.5,2.24,-299.74,REVERSAL,-0.20583982202447162,0.00714469011353405,0.16,-48.0,True,
2021-05-06,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-06T12:32:00-04:00,2021-05-06T12:30:00-04:00,2021-05-06T12:31:00-04:00,2021-05-06T16:00:00-04:00,2021-05-06T16:00:00-04:00,session_close_proxy,13580.75,13596.5,13583.25,13596.5,1,26.5,2.24,24.259999999999998,EOD_CLOSE_PROXY,1.1577308120133483,0.5067184034951904,0.28688524590163933,35.0,True,
2021-05-07,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-07T10:32:00-04:00,2021-05-07T10:30:00-04:00,2021-05-07T10:31:00-04:00,2021-05-07T16:00:00-04:00,2021-05-07T16:00:00-04:00,session_close_proxy,13778.75,13706.5,13779.0,13706.5,1,-145.0,2.24,-147.24,EOD_CLOSE_PROXY,2.3388209121245827,0.7136637659309889,0.45652173913043476,63.0,True,
2021-05-10,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-10T10:02:00-04:00,2021-05-10T10:00:00-04:00,2021-05-10T10:01:00-04:00,2021-05-10T16:00:00-04:00,2021-05-10T16:00:00-04:00,session_close_proxy,13536.25,13356.25,13526.75,13356.25,1,341.0,2.24,338.76,EOD_CLOSE_PROXY,-2.0858175750834262,0.6433591219574853,0.42998760842627015,-86.75,True,
2021-05-12,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-12T11:02:00-04:00,2021-05-12T11:00:00-04:00,2021-05-12T11:01:00-04:00,2021-05-12T16:00:00-04:00,2021-05-12T16:00:00-04:00,session_close_proxy,13060.0,12998.25,13058.25,12998.25,1,120.0,2.24,117.76,EOD_CLOSE_PROXY,-2.2809232480533925,0.8131952143995327,0.17917917917917917,-44.75,True,
2021-05-13,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-13T11:02:00-04:00,2021-05-13T11:00:00-04:00,2021-05-13T11:01:00-04:00,2021-05-13T16:00:00-04:00,2021-05-13T16:00:00-04:00,session_close_proxy,13200.25,13098.75,13184.5,13098.75,1,-171.5,2.24,-173.74,EOD_CLOSE_PROXY,0.9912124582869856,0.32195924123157693,0.0703851261620186,13.25,True,
2021-05-14,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-14T11:02:00-04:00,2021-05-14T11:00:00-04:00,2021-05-14T11:01:00-04:00,2021-05-14T16:00:00-04:00,2021-05-14T16:00:00-04:00,session_close_proxy,13327.0,13384.5,13322.5,13384.5,1,124.0,2.24,121.76,EOD_CLOSE_PROXY,0.8540044493882091,0.5456312768137324,0.31203931203931207,31.75,True,
2021-05-17,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-05-17T14:02:00-04:00,2021-05-17T14:00:00-04:00,2021-05-17T14:01:00-04:00,2021-05-17T16:00:00-04:00,2021-05-17T16:00:00-04:00,session_close_proxy,13207.5,13305.75,13202.5,13305.75,1,-206.5,2.24,-208.74,EOD_CLOSE_PROXY,-0.08459399332591769,0.00745056822866081,0.0176678445229682,-2.5,True,
2021-05-20,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-20T10:02:00-04:00,2021-05-20T10:00:00-04:00,2021-05-20T10:01:00-04:00,2021-05-20T16:00:00-04:00,2021-05-20T16:00:00-04:00,session_close_proxy,13385.0,13487.0,13386.75,13487.0,1,200.5,2.24,198.26,EOD_CLOSE_PROXY,2.5739710789766406,0.7274648127285566,0.43526170798898073,79.0,True,
2021-05-24,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-05-24T10:02:00-04:00,2021-05-24T10:00:00-04:00,2021-05-24T10:01:00-04:00,2021-05-24T16:00:00-04:00,2021-05-24T16:00:00-04:00,session_close_proxy,13579.25,13637.75,13589.75,13637.75,1,96.0,2.24,93.76,EOD_CLOSE_PROXY,1.8901557285873192,0.6360491103589485,0.475968992248062,76.75,True,
2021-06-03,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-06-03T10:02:00-04:00,2021-06-03T10:00:00-04:00,2021-06-03T10:01:00-04:00,2021-06-03T16:00:00-04:00,2021-06-03T16:00:00-04:00,session_close_proxy,13497.25,13528.0,13506.25,13528.0,1,-43.5,2.24,-45.74,EOD_CLOSE_PROXY,-2.7232480533926586,0.6938034705821163,0.3799126637554585,-65.25,True,
2021-06-04,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-06-04T10:02:00-04:00,2021-06-04T10:00:00-04:00,2021-06-04T10:01:00-04:00,2021-06-04T16:00:00-04:00,2021-06-04T16:00:00-04:00,session_close_proxy,13697.75,13767.0,13705.75,13767.0,1,122.5,2.24,120.26,EOD_CLOSE_PROXY,2.3338709677419356,0.8671090787092628,0.624750499001996,78.25,True,
2021-06-10,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-06-10T10:02:00-04:00,2021-06-10T10:00:00-04:00,2021-06-10T10:01:00-04:00,2021-06-10T16:00:00-04:00,2021-06-10T16:00:00-04:00,session_close_proxy,13944.0,13959.75,13951.5,13959.75,1,16.5,2.24,14.26,EOD_CLOSE_PROXY,4.116740823136818,0.820497667118622,0.513189448441247,107.0,True,
