trade_id,day,contract,direction,entry_event_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason
A-delay2-0078,2021-07-29,MNQU21,1,2021-07-29T10:02:00-04:00,2021-07-29T10:01:00-04:00,2021-07-29T16:00:00-04:00,2021-07-29T16:00:00-04:00,session_close_proxy,15042.5,15035.0,1,-15.0,2.24,-17.240000000000002,EOD_CLOSE_PROXY
A-delay2-0079,2021-08-03,MNQU21,-1,2021-08-03T10:02:00-04:00,2021-08-03T10:01:00-04:00,2021-08-03T16:00:00-04:00,2021-08-03T16:00:00-04:00,session_close_proxy,14910.5,15043.75,1,-266.5,2.24,-268.74,EOD_CLOSE_PROXY
A-delay2-0080,2021-08-10,MNQU21,-1,2021-08-10T11:02:00-04:00,2021-08-10T11:01:00-04:00,2021-08-10T16:00:00-04:00,2021-08-10T16:00:00-04:00,session_close_proxy,15024.0,15046.25,1,-44.5,2.24,-46.74,EOD_CLOSE_PROXY
A-delay2-0081,2021-08-11,MNQU21,-1,2021-08-11T12:02:00-04:00,2021-08-11T12:01:00-04:00,2021-08-11T16:00:00-04:00,2021-08-11T16:00:00-04:00,session_close_proxy,14986.75,15022.25,1,-71.0,2.24,-73.24,EOD_CLOSE_PROXY
A-delay2-0082,2021-08-16,MNQU21,-1,2021-08-16T10:02:00-04:00,2021-08-16T10:01:00-04:00,2021-08-16T16:00:00-04:00,2021-08-16T16:00:00-04:00,session_close_proxy,15029.25,15134.25,1,-210.0,2.24,-212.24,EOD_CLOSE_PROXY
A-delay2-0083,2021-08-17,MNQU21,-1,2021-08-17T10:02:00-04:00,2021-08-17T10:01:00-04:00,2021-08-17T16:00:00-04:00,2021-08-17T16:00:00-04:00,session_close_proxy,14963.25,14999.75,1,-73.0,2.24,-75.24,EOD_CLOSE_PROXY
A-delay2-0084,2021-08-19,MNQU21,1,2021-08-19T11:32:00-04:00,2021-08-19T11:31:00-04:00,2021-08-19T16:00:00-04:00,2021-08-19T16:00:00-04:00,session_close_proxy,14921.0,14928.5,1,15.0,2.24,12.76,EOD_CLOSE_PROXY
A-delay2-0085,2021-08-20,MNQU21,1,2021-08-20T10:02:00-04:00,2021-08-20T10:01:00-04:00,2021-08-20T16:00:00-04:00,2021-08-20T16:00:00-04:00,session_close_proxy,15042.0,15083.25,1,82.5,2.24,80.26,EOD_CLOSE_PROXY
A-delay2-0086,2021-08-23,MNQU21,1,2021-08-23T10:02:00-04:00,2021-08-23T10:01:00-04:00,2021-08-23T16:00:00-04:00,2021-08-23T16:00:00-04:00,session_close_proxy,15194.75,15306.5,1,223.5,2.24,221.26,EOD_CLOSE_PROXY
A-delay2-0087,2021-08-27,MNQU21,1,2021-08-27T10:32:00-04:00,2021-08-27T10:31:00-04:00,2021-08-27T16:00:00-04:00,2021-08-27T16:00:00-04:00,session_close_proxy,15389.0,15424.5,1,71.0,2.24,68.76,EOD_CLOSE_PROXY
A-delay2-0088,2021-08-30,MNQU21,1,2021-08-30T10:02:00-04:00,2021-08-30T10:01:00-04:00,2021-08-30T16:00:00-04:00,2021-08-30T16:00:00-04:00,session_close_proxy,15523.75,15599.25,1,151.0,2.24,148.76,EOD_CLOSE_PROXY
