entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-06-26T08:22:00+00:00,2025-06-26T08:28:00+00:00,107980.5,107939.5,108274.0,107961.0,bullish,-43.0,stop_loss,London AM,6,7.16
2025-06-27T00:46:00+00:00,2025-06-27T00:49:00+00:00,106965.5,106890.5,107232.0,106887.0,bullish,-77.0,stop_loss,Asia,3,3.55
2025-06-27T14:56:00+00:00,2025-06-27T15:00:00+00:00,106495.0,106421.0,106646.0,106654.0,bullish,149.0,target,NY AM,4,2.04
2025-06-28T00:00:00+00:00,2025-06-28T00:01:00+00:00,107114.5,107085.5,107215.0,107077.0,bullish,-31.0,stop_loss,Asia,1,3.47
2025-06-28T08:06:00+00:00,2025-06-28T08:07:00+00:00,107535.5,107516.5,107583.0,107495.0,bullish,-21.0,stop_loss,London AM,1,2.5
2025-06-29T14:17:00+00:00,2025-06-29T14:22:00+00:00,108210.0,108202.0,108279.0,108200.0,bullish,-10.0,stop_loss,NY AM,5,8.62
2025-06-30T00:16:00+00:00,2025-06-30T00:20:00+00:00,108494.5,108479.5,108540.0,108462.0,bullish,-17.0,stop_loss,Asia,4,3.03
2025-06-30T09:00:00+00:00,2025-06-30T09:03:00+00:00,107556.0,107540.0,107629.0,107512.0,bullish,-18.0,stop_loss,London AM,3,4.56
2025-06-30T14:24:00+00:00,2025-06-30T14:49:00+00:00,107346.5,107203.5,107642.0,107196.0,bullish,-145.0,stop_loss,NY AM,25,2.07
2025-07-01T14:19:00+00:00,2025-07-01T14:22:00+00:00,107024.5,107007.5,107129.0,106922.0,bullish,-19.0,stop_loss,NY AM,3,6.15
2025-07-02T08:16:00+00:00,2025-07-02T08:17:00+00:00,107424.5,107407.5,107477.0,107513.0,bullish,50.5,target,London AM,1,3.09
2025-07-02T14:08:00+00:00,2025-07-02T14:11:00+00:00,107878.5,107857.5,107971.0,107981.0,bullish,90.5,target,NY AM,3,4.4
2025-07-03T00:46:00+00:00,2025-07-03T00:53:00+00:00,109040.5,109025.5,109178.0,109056.0,bullish,-17.0,stop_loss,Asia,7,9.17
2025-07-03T08:12:00+00:00,2025-07-03T08:14:00+00:00,109489.0,109475.0,109580.0,109473.0,bullish,-16.0,stop_loss,London AM,2,6.5
2025-07-03T14:22:00+00:00,2025-07-03T14:25:00+00:00,110324.5,110273.5,110608.0,110274.0,bullish,-53.0,stop_loss,NY AM,3,5.56
2025-07-04T00:49:00+00:00,2025-07-04T00:51:00+00:00,109726.5,109705.5,109771.0,109700.0,bullish,-23.0,stop_loss,Asia,2,2.12
2025-07-04T08:32:00+00:00,2025-07-04T08:33:00+00:00,108841.5,108834.5,108861.0,108775.0,bullish,-9.0,stop_loss,London AM,1,2.79
2025-07-05T00:16:00+00:00,2025-07-05T00:18:00+00:00,108052.0,108040.0,108090.0,108110.0,bullish,36.0,target,Asia,2,3.17
2025-07-05T08:02:00+00:00,2025-07-05T08:34:00+00:00,108102.0,108082.0,108199.0,108064.0,bullish,-22.0,stop_loss,London AM,32,4.85
2025-07-06T00:11:00+00:00,2025-07-06T00:12:00+00:00,108165.0,108139.0,108250.0,108134.0,bullish,-28.0,stop_loss,Asia,1,3.27
