entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-10-29 14:20:00,bullish,26286.0,26270.75,26316.5,-305.0,stop,87.53594764763947,NY PM,400.0,2025-10-29
2025-10-29 18:35:00,bearish,26253.5,26276.5,26207.5,920.0,target,84.80035357043883,,1190.0,2025-10-29
2025-10-29 15:00:00,bullish,26269.0,26246.75,26313.5,-445.0,stop,81.85232108527487,,550.0,2025-10-29
2025-10-29 15:05:00,bearish,26261.75,26273.5,26238.25,470.0,target,81.34192847359076,,280.0,2025-10-29
2025-10-29 14:45:00,bullish,26287.875,26270.75,26322.125,-342.5,stop,79.53594764763947,NY PM,825.0,2025-10-29
2025-10-29 18:50:00,bearish,26124.125,26276.5,25819.375,-3047.5,stop,78.80035357043883,,3065.0,2025-10-29
2025-10-29 15:10:00,bullish,26257.375,26246.75,26278.625,-212.5,stop,77.85232108527487,,815.0,2025-10-29
2025-10-29 18:55:00,bearish,26144.375,26276.5,25880.125,-2642.5,stop,76.80035357043883,,3335.0,2025-10-29
2025-10-29 15:15:00,bullish,26253.625,26246.75,26267.375,275.0,target,75.85232108527487,,605.0,2025-10-29
2025-10-29 19:00:00,bearish,26161.0,26276.5,25930.0,-2310.0,stop,74.80035357043883,,2130.0,2025-10-29
2025-10-29 15:25:00,bearish,26257.5,26273.5,26225.5,640.0,target,73.34192847359076,,760.0,2025-10-29
2025-10-29 19:10:00,bearish,26177.625,26276.5,25979.875,-1977.5,stop,70.80035357043883,,1795.0,2025-10-29
2025-10-30 12:10:00,bullish,26236.375,26232.0,26245.125,-87.5,stop,86.87173793589305,,1155.0,2025-10-30
2025-10-30 20:05:00,bearish,25936.125,25961.5,25885.375,-507.5,stop,84.97383206831132,,2325.0,2025-10-30
2025-10-30 20:10:00,bullish,25984.375,25978.75,25995.625,225.0,target,84.614578220554,,605.0,2025-10-30
2025-10-30 12:35:00,bearish,26166.375,26244.5,26010.125,3125.0,target,77.67220594826767,,375.0,2025-10-30
2025-10-31 14:55:00,bullish,26164.75,26161.0,26172.25,-75.0,stop,80.50587548138645,NY PM,670.0,2025-10-31
2025-10-31 20:10:00,bearish,25981.875,26020.75,25904.125,-777.5,stop,76.36519104096747,,585.0,2025-10-31
2025-10-31 20:15:00,bearish,25979.0,26020.75,25895.5,-835.0,stop,74.36519104096747,,440.0,2025-10-31
2025-10-31 20:20:00,bearish,25982.625,26020.75,25906.375,-762.5,stop,69.24019104096747,,175.0,2025-10-31
2025-10-31 20:30:00,bearish,25978.25,26020.75,25893.25,-850.0,stop,68.36519104096747,,290.0,2025-10-31
2025-11-03 14:50:00,bullish,26155.375,26123.75,26218.625,-632.5,stop,93.48137737956935,NY PM,1435.0,2025-11-03
2025-11-03 14:55:00,bullish,26152.875,26123.75,26211.125,-582.5,stop,91.48137737956935,NY PM,1185.0,2025-11-03
2025-11-03 15:00:00,bullish,26133.875,26123.75,26154.125,-202.5,stop,81.98137737956935,,1315.0,2025-11-03
2025-11-03 15:10:00,bullish,26131.875,26123.75,26148.125,-162.5,stop,77.98137737956935,,525.0,2025-11-03
2025-11-03 15:15:00,bearish,26117.5,26178.75,25995.0,2450.0,target,72.94306656599656,,1170.0,2025-11-03
2025-11-04 14:05:00,bullish,25730.625,25729.0,25733.875,-32.5,stop,91.38696162348738,NY PM,1825.0,2025-11-04
2025-11-04 14:40:00,bearish,25721.75,25752.5,25660.25,-615.0,stop,89.73731456605182,NY PM,2000.0,2025-11-04
2025-11-04 14:45:00,bearish,25722.5,25752.5,25662.5,-600.0,stop,87.73731456605182,NY PM,2380.0,2025-11-04
2025-11-04 12:05:00,bullish,25755.25,25737.25,25791.25,-360.0,stop,85.40061835374014,,970.0,2025-11-04
2025-11-04 12:15:00,bullish,25742.25,25737.25,25752.25,200.0,target,81.40061835374014,,310.0,2025-11-04
2025-11-04 12:10:00,bearish,25741.25,25752.5,25718.75,-225.0,stop,80.17277289694151,,210.0,2025-11-04
2025-11-04 12:20:00,bearish,25751.0,25752.5,25748.0,-30.0,stop,76.17277289694151,,1040.0,2025-11-04
2025-11-04 12:35:00,bullish,25769.625,25737.25,25834.375,-647.5,stop,73.40061835374014,,565.0,2025-11-04
2025-11-04 15:10:00,bullish,25855.75,25746.75,26073.75,-2180.0,stop,71.33324739914903,,1210.0,2025-11-04
