entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-07-17 01:30:00+00:00,2025-07-17 03:15:00+00:00,long,118802.0,118020.11862504462,-90.02924342679034,6,train
2025-07-17 15:45:00+00:00,2025-07-17 19:45:00+00:00,long,119208.0,119087.40076595206,-23.97469344309185,15,train
2025-07-17 19:45:00+00:00,2025-07-17 23:30:00+00:00,long,119620.0,119726.7023420875,-1.2971009083538956,14,train
2025-07-17 23:30:00+00:00,2025-07-18 07:15:00+00:00,long,119730.0,119911.8591479648,6.2038218390819715,30,train
2025-07-18 07:15:00+00:00,2025-07-18 08:00:00+00:00,long,120244.0,119437.58107868352,-92.6259711855821,2,train
2025-07-18 08:00:00+00:00,2025-07-18 08:30:00+00:00,long,119482.0,118584.77114959042,-101.62622359843729,1,train
2025-07-18 08:30:00+00:00,2025-07-18 13:15:00+00:00,long,119250.0,118939.57619129309,-42.95185968025563,18,train
2025-07-20 14:30:00+00:00,2025-07-20 17:45:00+00:00,long,118738.0,118240.8903000573,-61.55991450927242,12,train
2025-07-20 17:45:00+00:00,2025-07-20 22:00:00+00:00,long,118298.0,118092.818293134,-32.337711601256906,16,train
2025-07-20 22:00:00+00:00,2025-07-20 22:15:00+00:00,long,118114.0,117609.07387452594,-62.27876624113189,0,train
2025-07-20 22:15:00+00:00,2025-07-21 09:15:00+00:00,long,117038.0,119004.84562796516,184.88242051511756,43,train
2025-07-21 09:15:00+00:00,2025-07-21 11:45:00+00:00,long,119025.0,118349.3989941421,-79.42882053549687,9,train
2025-07-21 11:45:00+00:00,2025-07-21 16:00:00+00:00,long,118485.0,118169.50568391227,-43.382156892968624,16,train
2025-07-22 16:30:00+00:00,2025-07-23 01:00:00+00:00,long,119152.0,119590.39785753244,31.90266586036774,33,train
2025-07-23 01:00:00+00:00,2025-07-23 03:30:00+00:00,long,119702.0,119013.80038490445,-80.7557515288005,9,train
2025-07-23 03:30:00+00:00,2025-07-23 07:45:00+00:00,long,119080.0,118531.58691173293,-66.72188817229389,16,train
2025-07-23 23:15:00+00:00,2025-07-24 03:45:00+00:00,long,118795.0,118848.16429646216,-6.5657285686074145,17,train
2025-07-24 03:45:00+00:00,2025-07-24 04:15:00+00:00,long,119049.0,118480.87572360053,-68.68892142612671,1,train
2025-07-24 04:15:00+00:00,2025-07-24 05:00:00+00:00,long,118691.0,117992.20887683774,-81.71327276006755,2,train
2025-07-24 05:00:00+00:00,2025-07-24 14:00:00+00:00,long,118060.0,118225.41079728564,4.726809188700084,35,train
