entry_time,exit_time,dir,reason,pnl_pts,proba
2025-04-11 01:45:00+00:00,2025-04-11 02:15:00+00:00,1,TP,996.1999999999971,
2025-04-11 14:30:00+00:00,2025-04-11 14:45:00+00:00,0,SL,-900.5,
2025-04-11 22:00:00+00:00,2025-04-12 13:00:00+00:00,0,TIME_STOP,-308.0,
2025-04-13 02:15:00+00:00,2025-04-13 03:45:00+00:00,0,SL,-550.6000000000058,
2025-04-13 15:00:00+00:00,2025-04-13 19:30:00+00:00,1,SL,-565.6999999999971,
2025-04-14 03:30:00+00:00,2025-04-14 14:30:00+00:00,0,SL,-915.0,
2025-04-14 14:45:00+00:00,2025-04-14 15:00:00+00:00,1,SL,-694.0,
2025-04-14 15:30:00+00:00,2025-04-15 03:30:00+00:00,0,SL,-796.1000000000058,
2025-04-15 14:45:00+00:00,2025-04-15 20:45:00+00:00,0,TP,1405.0,
2025-04-16 08:45:00+00:00,2025-04-16 15:15:00+00:00,1,TP,976.6000000000058,
2025-04-16 18:00:00+00:00,2025-04-16 18:15:00+00:00,0,SL,-908.6000000000058,
2025-04-17 15:30:00+00:00,2025-04-17 18:15:00+00:00,1,TP,980.3999999999942,
2025-04-17 19:15:00+00:00,2025-04-18 10:15:00+00:00,0,TIME_STOP,281.0,
2025-04-18 22:30:00+00:00,2025-04-19 02:00:00+00:00,0,SL,-176.60000000000582,
2025-04-20 12:30:00+00:00,2025-04-20 20:00:00+00:00,1,TP,557.8000000000029,
2025-04-21 09:45:00+00:00,2025-04-21 11:15:00+00:00,0,TP,691.3999999999942,
2025-04-21 12:15:00+00:00,2025-04-21 13:00:00+00:00,1,SL,-395.6999999999971,
2025-04-23 12:30:00+00:00,2025-04-23 13:45:00+00:00,1,SL,-583.3999999999942,
2025-04-23 16:15:00+00:00,2025-04-24 07:15:00+00:00,1,TIME_STOP,-770.0,
2025-04-24 09:30:00+00:00,2025-04-24 15:00:00+00:00,1,TP,1101.199999999997,
2025-04-24 17:30:00+00:00,2025-04-24 19:45:00+00:00,0,SL,-607.6000000000058,
2025-04-25 00:30:00+00:00,2025-04-25 01:00:00+00:00,0,SL,-438.6000000000058,
2025-04-25 04:00:00+00:00,2025-04-25 11:45:00+00:00,1,TP,1218.0,
2025-04-27 02:00:00+00:00,2025-04-27 17:00:00+00:00,0,TIME_STOP,45.0,
2025-04-27 22:30:00+00:00,2025-04-28 01:00:00+00:00,0,TP,637.3999999999942,
2025-04-28 02:45:00+00:00,2025-04-28 06:45:00+00:00,1,TP,1144.0,
2025-04-29 06:30:00+00:00,2025-04-29 21:30:00+00:00,1,TIME_STOP,42.0,
2025-04-30 00:00:00+00:00,2025-04-30 13:30:00+00:00,1,SL,-510.6000000000058,
2025-04-30 14:45:00+00:00,2025-05-01 05:45:00+00:00,1,TIME_STOP,1093.0,
2025-05-01 07:00:00+00:00,2025-05-01 09:15:00+00:00,0,SL,-331.8000000000029,
2025-05-01 14:00:00+00:00,2025-05-01 14:15:00+00:00,0,SL,-600.3000000000029,
2025-05-02 00:15:00+00:00,2025-05-02 14:30:00+00:00,1,TP,945.8000000000029,
2025-05-03 02:30:00+00:00,2025-05-03 03:15:00+00:00,1,SL,-272.8999999999942,
2025-05-04 02:15:00+00:00,2025-05-04 02:30:00+00:00,1,SL,-367.3999999999942,
2025-05-04 14:30:00+00:00,2025-05-04 17:30:00+00:00,1,SL,-288.8999999999942,
2025-05-04 22:30:00+00:00,2025-05-04 23:00:00+00:00,0,TP,548.3999999999942,
2025-05-05 00:30:00+00:00,2025-05-05 01:15:00+00:00,1,SL,-470.3000000000029,
2025-05-05 02:45:00+00:00,2025-05-05 15:00:00+00:00,1,SL,-646.3000000000029,
2025-05-05 20:00:00+00:00,2025-05-05 22:00:00+00:00,0,SL,-487.8000000000029,
2025-05-06 09:00:00+00:00,2025-05-06 10:30:00+00:00,1,SL,-268.5,
2025-05-06 20:45:00+00:00,2025-05-06 22:00:00+00:00,0,SL,-471.1999999999971,
2025-05-07 15:15:00+00:00,2025-05-07 18:00:00+00:00,0,TP,921.6000000000058,
2025-05-08 00:00:00+00:00,2025-05-08 00:45:00+00:00,0,SL,-577.1000000000058,
2025-05-08 11:30:00+00:00,2025-05-08 15:15:00+00:00,0,SL,-359.1000000000058,
2025-05-08 18:00:00+00:00,2025-05-08 20:30:00+00:00,0,SL,-939.5,
2025-05-11 08:30:00+00:00,2025-05-11 12:00:00+00:00,1,TP,973.1999999999971,
2025-05-12 01:45:00+00:00,2025-05-12 07:00:00+00:00,0,SL,-691.3000000000029,
2025-05-12 08:00:00+00:00,2025-05-12 14:15:00+00:00,0,TP,1441.0,
2025-05-15 01:30:00+00:00,2025-05-15 03:00:00+00:00,0,TP,593.0,
2025-05-15 15:30:00+00:00,2025-05-15 17:15:00+00:00,1,TP,1587.800000000003,
2025-05-16 09:15:00+00:00,2025-05-16 16:00:00+00:00,1,TP,776.1999999999971,
2025-05-16 16:45:00+00:00,2025-05-17 01:45:00+00:00,0,TP,1304.199999999997,
2025-05-17 02:45:00+00:00,2025-05-17 11:00:00+00:00,1,SL,-449.5,
2025-05-17 12:00:00+00:00,2025-05-18 03:00:00+00:00,1,TIME_STOP,255.0,
2025-05-18 06:45:00+00:00,2025-05-18 07:45:00+00:00,0,SL,-209.3000000000029,
2025-05-19 00:45:00+00:00,2025-05-19 04:00:00+00:00,0,TP,2119.399999999994,
2025-05-20 03:00:00+00:00,2025-05-20 13:00:00+00:00,0,TP,1499.0,
2025-05-21 07:30:00+00:00,2025-05-21 14:15:00+00:00,0,SL,-731.1999999999971,
2025-05-21 17:45:00+00:00,2025-05-21 19:30:00+00:00,0,SL,-1466.1000000000058,
2025-05-22 18:15:00+00:00,2025-05-23 09:15:00+00:00,0,TIME_STOP,395.0,
2025-05-24 05:30:00+00:00,2025-05-24 10:30:00+00:00,0,SL,-497.8999999999942,
2025-05-24 12:30:00+00:00,2025-05-24 23:45:00+00:00,0,TP,1215.800000000003,
2025-05-25 01:45:00+00:00,2025-05-25 08:45:00+00:00,1,SL,-738.8999999999942,
2025-05-25 20:30:00+00:00,2025-05-25 22:00:00+00:00,0,SL,-454.6000000000058,
2025-05-26 16:45:00+00:00,2025-05-27 01:15:00+00:00,0,TP,1274.6000000000058,
2025-05-27 09:45:00+00:00,2025-05-27 13:00:00+00:00,0,SL,-507.6000000000058,
2025-05-28 09:30:00+00:00,2025-05-28 12:30:00+00:00,0,SL,-442.8000000000029,
2025-05-29 00:15:00+00:00,2025-05-29 00:45:00+00:00,0,SL,-525.1000000000058,
2025-05-29 15:15:00+00:00,2025-05-29 16:00:00+00:00,1,SL,-716.3000000000029,
2025-05-30 00:30:00+00:00,2025-05-30 00:45:00+00:00,1,SL,-601.6999999999971,
2025-06-01 02:45:00+00:00,2025-06-01 09:30:00+00:00,1,SL,-349.8999999999942,
2025-06-02 09:15:00+00:00,2025-06-02 12:00:00+00:00,0,TP,999.8000000000029,
2025-06-02 14:45:00+00:00,2025-06-02 22:15:00+00:00,1,TP,1272.0,
2025-06-03 02:45:00+00:00,2025-06-03 08:00:00+00:00,0,TP,1050.800000000003,
2025-06-03 09:15:00+00:00,2025-06-03 14:15:00+00:00,1,TP,581.8000000000029,
2025-06-04 01:15:00+00:00,2025-06-04 11:45:00+00:00,1,SL,-515.3000000000029,
2025-06-05 02:00:00+00:00,2025-06-05 02:30:00+00:00,0,SL,-371.6999999999971,
2025-06-05 07:30:00+00:00,2025-06-05 12:15:00+00:00,1,TP,626.3999999999942,
2025-06-05 14:00:00+00:00,2025-06-05 16:45:00+00:00,0,TP,1003.8000000000029,
2025-06-07 01:00:00+00:00,2025-06-07 06:45:00+00:00,1,TP,743.1999999999971,
2025-06-07 23:30:00+00:00,2025-06-08 09:15:00+00:00,0,TP,502.6000000000058,
2025-06-08 11:00:00+00:00,2025-06-08 13:30:00+00:00,1,TP,489.0,
2025-06-08 22:30:00+00:00,2025-06-09 01:45:00+00:00,0,TP,526.1999999999971,
2025-06-09 04:00:00+00:00,2025-06-09 09:30:00+00:00,1,TP,707.8000000000029,
2025-06-10 07:00:00+00:00,2025-06-10 08:30:00+00:00,1,SL,-414.3999999999942,
2025-06-10 12:15:00+00:00,2025-06-10 13:15:00+00:00,0,SL,-448.3000000000029,
2025-06-10 14:00:00+00:00,2025-06-10 19:15:00+00:00,0,SL,-515.1999999999971,
2025-06-10 20:15:00+00:00,2025-06-10 22:00:00+00:00,0,SL,-725.1000000000058,
2025-06-11 07:15:00+00:00,2025-06-11 09:30:00+00:00,1,SL,-326.5,
2025-06-11 13:00:00+00:00,2025-06-11 13:30:00+00:00,1,SL,-380.6000000000058,
2025-06-12 14:30:00+00:00,2025-06-12 15:45:00+00:00,1,SL,-530.6999999999971,
2025-06-13 09:00:00+00:00,2025-06-13 15:00:00+00:00,0,SL,-703.1000000000058,
2025-06-13 15:15:00+00:00,2025-06-13 18:30:00+00:00,1,SL,-753.1000000000058,
2025-06-14 01:30:00+00:00,2025-06-14 16:30:00+00:00,0,TP,966.1999999999971,
2025-06-14 19:15:00+00:00,2025-06-14 20:00:00+00:00,1,SL,-433.3000000000029,
2025-06-14 21:00:00+00:00,2025-06-15 05:45:00+00:00,1,TP,1064.6000000000058,
2025-06-15 06:45:00+00:00,2025-06-15 09:00:00+00:00,0,TP,520.1999999999971,
2025-06-16 23:00:00+00:00,2025-06-17 00:00:00+00:00,0,TP,1337.3999999999942,
2025-06-18 14:30:00+00:00,2025-06-18 14:45:00+00:00,1,SL,-644.3000000000029,
2025-06-18 15:15:00+00:00,2025-06-18 21:45:00+00:00,0,SL,-731.0,
2025-06-19 01:30:00+00:00,2025-06-19 16:30:00+00:00,0,TIME_STOP,569.0,
2025-06-19 18:00:00+00:00,2025-06-20 07:45:00+00:00,1,TP,1070.3999999999942,
2025-06-21 04:15:00+00:00,2025-06-21 08:45:00+00:00,0,SL,-255.3000000000029,
2025-06-21 11:15:00+00:00,2025-06-21 15:30:00+00:00,0,TP,491.1999999999971,
2025-06-22 10:45:00+00:00,2025-06-22 13:15:00+00:00,1,SL,-437.1000000000058,
2025-06-22 17:15:00+00:00,2025-06-22 20:00:00+00:00,1,SL,-1254.1000000000058,
2025-06-22 21:00:00+00:00,2025-06-23 00:45:00+00:00,1,TP,1897.0,
2025-06-23 13:00:00+00:00,2025-06-23 13:15:00+00:00,1,SL,-444.0,
2025-06-23 14:00:00+00:00,2025-06-23 14:30:00+00:00,1,SL,-663.8000000000029,
