contract,date,p_prior,p1530,p1559,move_usd,r_rod,r_lh,dir,gross,net3,net2,yr
MNQZ21,2021-10-07,14760.25,14934.75,14871.75,-126.0,0.01182229298284243,-0.004218349821724532,1,-126.0,-129.0,-128.0,2021
MNQZ21,2021-10-08,14871.75,14849.0,14813.25,-71.5,-0.0015297459949232817,-0.002407569533301901,-1,71.5,68.5,69.5,2021
MNQZ21,2021-10-11,14813.25,14755.75,14707.75,-96.0,-0.003881660000337517,-0.0032529691815055273,-1,96.0,93.0,94.0,2021
MNQZ21,2021-10-12,14707.75,14667.5,14667.5,0.0,-0.0027366524451394314,0.0,-1,-0.0,-3.0,-2.0,2021
MNQZ21,2021-10-13,14667.5,14736.25,14753.5,34.5,0.0046872336799046455,0.0011705827466281793,1,34.5,31.5,32.5,2021
MNQZ21,2021-10-14,14753.5,15031.75,15028.5,-6.5,0.018859931541667985,-0.00021620902423202804,1,-6.5,-9.5,-8.5,2021
MNQZ21,2021-10-15,15028.5,15118.75,15135.0,32.5,0.006005256678976556,0.0010748243075651143,1,32.5,29.5,30.5,2021
MNQZ21,2021-10-18,15135.0,15280.0,15290.0,20.0,0.009580442682523893,0.0006544502617800152,1,20.0,17.0,18.0,2021
MNQZ21,2021-10-19,15290.0,15394.0,15392.75,-2.5,0.0068018312622628585,-8.120046771464828e-05,1,-2.5,-5.5,-4.5,2021
MNQZ21,2021-10-20,15392.75,15368.0,15368.5,1.0,-0.001607899822968606,3.253513794887475e-05,-1,-1.0,-4.0,-3.0,2021
MNQZ21,2021-10-21,15368.5,15469.5,15483.5,28.0,0.006571884048540921,0.0009050066259412848,1,28.0,25.0,26.0,2021
MNQZ21,2021-10-22,15483.5,15335.5,15348.0,25.0,-0.009558562340556076,0.0008151022138176423,-1,-25.0,-28.0,-27.0,2021
MNQZ21,2021-10-25,15348.0,15515.0,15489.25,-51.5,0.01088089653375035,-0.0016596841766033377,1,-51.5,-54.5,-53.5,2021
MNQZ21,2021-10-26,15489.25,15555.25,15550.0,-10.5,0.004261019739496774,-0.0003375066295945306,1,-10.5,-13.5,-12.5,2021
MNQZ21,2021-10-27,15550.0,15641.25,15587.0,-108.5,0.0058681672025724385,-0.0034683928714137613,1,-108.5,-111.5,-110.5,2021
MNQZ21,2021-10-28,15587.0,15738.75,15758.25,39.0,0.009735677166869738,0.0012389802239693992,1,39.0,36.0,37.0,2021
MNQZ21,2021-10-29,15758.25,15785.5,15843.5,116.0,0.0017292529310044547,0.0036742580216020393,1,116.0,113.0,114.0,2021
MNQZ21,2021-11-01,15843.5,15851.5,15885.0,67.0,0.0005049389339477628,0.0021133646658044736,1,67.0,64.0,65.0,2021
MNQZ21,2021-11-02,15885.0,15954.5,15960.25,11.5,0.004375196726471575,0.0003603998871790637,1,11.5,8.5,9.5,2021
MNQZ21,2021-11-03,15960.25,16099.5,16136.5,74.0,0.008724800676681133,0.002298208018882475,1,74.0,71.0,72.0,2021
MNQZ21,2021-11-04,16136.5,16330.25,16318.5,-23.5,0.012006940786415843,-0.0007195235835336655,1,-23.5,-26.5,-25.5,2021
MNQZ21,2021-11-05,16318.5,16344.5,16354.75,20.5,0.0015932836964180908,0.0006271222735476645,1,20.5,17.5,18.5,2021
MNQZ21,2021-11-08,16354.75,16353.25,16332.25,-42.0,-9.171647380734615e-05,-0.001284148410866326,-1,42.0,39.0,40.0,2021
