entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,ml_prediction,killzone_window,bars_held,stop_loss,target_price
2026-03-11 16:03:00+00:00,2026-03-11 16:31:00+00:00,25118.125,25189.0,bullish,104.95,target,0.0,NY AM,28,25093.375,25171.5
2026-03-11 19:24:00+00:00,2026-03-11 19:26:00+00:00,25135.875,25160.0,bullish,40.95,target,0.0,NY PM,2,25129.625,25157.25
2026-03-12 08:14:00+00:00,2026-03-12 08:16:00+00:00,25096.625,25093.25,bullish,-12.3,stop_loss,0.0,London AM,2,25091.375,25118.0
2026-03-12 15:31:00+00:00,2026-03-12 15:37:00+00:00,24822.875,24795.25,bullish,-30.3,stop_loss,0.0,NY AM,6,24808.625,24852.0
2026-03-13 20:12:00+00:00,2026-03-13 20:51:00+00:00,24572.25,24566.75,bullish,-18.8,stop_loss,0.0,NY PM,39,24563.75,24594.75
2026-03-16 08:16:00+00:00,2026-03-16 08:21:00+00:00,24730.875,24719.25,bullish,-24.3,stop_loss,0.0,London AM,5,24719.625,24782.75
2026-03-16 19:13:00+00:00,2026-03-16 19:14:00+00:00,24939.75,24916.75,bullish,-32.8,stop_loss,0.0,NY PM,1,24924.25,25032.75
2026-03-17 08:05:00+00:00,2026-03-17 08:07:00+00:00,24783.0,24773.25,bullish,-22.8,stop_loss,0.0,London AM,2,24772.5,24809.5
2026-03-17 19:04:00+00:00,2026-03-17 19:06:00+00:00,25002.0,24995.75,bullish,-12.8,stop_loss,0.0,NY PM,2,24996.5,25017.75
2026-03-19 15:21:00+00:00,2026-03-19 15:32:00+00:00,24473.5,24430.25,bullish,-72.8,stop_loss,0.0,NY AM,11,24438.0,24564.0
2026-03-20 15:27:00+00:00,2026-03-20 16:02:00+00:00,24254.625,24323.0,bullish,142.95,target,0.0,NY AM,35,24231.375,24327.0
2026-03-20 19:06:00+00:00,2026-03-20 19:07:00+00:00,24087.0,24085.5,bullish,-26.8,stop_loss,0.0,NY PM,1,24074.5,24115.25
2026-03-23 19:51:00+00:00,2026-03-23 19:52:00+00:00,24473.0,24457.5,bullish,-27.8,stop_loss,0.0,NY PM,1,24460.0,24511.75
2026-03-24 08:02:00+00:00,2026-03-24 08:06:00+00:00,24459.875,24487.25,bullish,35.45,target,0.0,London AM,4,24453.625,24478.5
2026-03-26 08:10:00+00:00,2026-03-26 08:12:00+00:00,24262.5,24249.5,bullish,-23.8,stop_loss,0.0,London AM,2,24251.5,24288.75
2026-03-26 15:21:00+00:00,2026-03-26 15:32:00+00:00,24078.875,24054.75,bullish,-26.3,stop_loss,0.0,NY AM,11,24066.625,24114.25
2026-03-27 15:25:00+00:00,2026-03-27 15:29:00+00:00,23516.75,23555.0,bullish,82.2,target,0.0,NY AM,4,23497.25,23558.75
2026-03-27 19:21:00+00:00,2026-03-27 19:22:00+00:00,23340.0,23331.25,bullish,-17.8,stop_loss,0.0,NY PM,1,23332.0,23357.75
2026-03-30 08:08:00+00:00,2026-03-30 08:12:00+00:00,23388.625,23409.5,bullish,48.95,target,0.0,London AM,4,23381.875,23414.0
2026-03-30 15:15:00+00:00,2026-03-30 15:17:00+00:00,23315.375,23288.75,bullish,-42.3,stop_loss,0.0,NY AM,2,23295.125,23360.5
2026-03-30 19:39:00+00:00,2026-03-30 19:43:00+00:00,23057.125,23075.75,bullish,43.45,target,0.0,NY PM,4,23047.875,23079.75
2026-03-31 08:19:00+00:00,2026-03-31 08:24:00+00:00,23336.75,23336.5,bullish,-16.8,stop_loss,0.0,London AM,5,23329.25,23360.25
2026-03-31 19:09:00+00:00,2026-03-31 19:11:00+00:00,23836.375,23876.25,bullish,79.95,target,0.0,NY PM,2,23817.625,23877.25
2026-04-02 19:17:00+00:00,2026-04-02 19:23:00+00:00,24147.875,24154.25,bullish,-22.3,stop_loss,0.0,NY PM,6,24137.625,24177.0
2026-04-03 08:04:00+00:00,2026-04-03 08:09:00+00:00,24157.25,24156.0,bullish,-4.8,stop_loss,0.0,London AM,5,24155.75,24167.5
2026-04-06 19:56:00+00:00,2026-04-06 22:06:00+00:00,24336.375,24380.0,bullish,77.95,target,0.0,NY PM,70,24330.125,24376.25
2026-04-07 08:09:00+00:00,2026-04-07 08:22:00+00:00,24277.125,24349.5,bullish,139.95,target,0.0,London AM,13,24260.875,24348.0
2026-04-07 15:32:00+00:00,2026-04-07 15:33:00+00:00,24048.125,24072.5,bullish,48.45,target,0.0,NY AM,1,24036.375,24073.25
2026-04-08 19:54:00+00:00,2026-04-08 19:55:00+00:00,25027.0,25038.75,bullish,40.2,target,0.0,NY PM,1,25019.5,25048.0
2026-04-09 08:03:00+00:00,2026-04-09 08:05:00+00:00,24969.375,24981.75,bullish,33.95,target,0.0,London AM,2,24960.625,24987.25
2026-04-09 15:39:00+00:00,2026-04-09 15:48:00+00:00,25090.375,25156.75,bullish,104.95,target,0.0,NY AM,9,25066.625,25143.75
2026-04-09 19:19:00+00:00,2026-04-09 19:31:00+00:00,25208.0,25235.75,bullish,40.2,target,0.0,NY PM,12,25197.5,25229.0
2026-04-10 08:49:00+00:00,2026-04-10 08:52:00+00:00,25217.0,25212.0,bullish,-13.8,stop_loss,0.0,London AM,3,25211.0,25232.25
2026-04-10 15:21:00+00:00,2026-04-10 15:24:00+00:00,25363.125,25387.75,bullish,35.45,target,0.0,NY AM,3,25354.875,25381.75
2026-04-13 08:09:00+00:00,2026-04-13 08:17:00+00:00,25109.75,25109.0,bullish,-12.8,stop_loss,0.0,London AM,8,25104.25,25128.0
2026-04-13 15:44:00+00:00,2026-04-13 15:55:00+00:00,25316.75,25302.75,bullish,-24.8,stop_loss,0.0,NY AM,11,25305.25,25344.5
2026-04-13 19:43:00+00:00,2026-04-13 19:51:00+00:00,25458.25,25511.5,bullish,51.7,target,0.0,NY PM,8,25453.75,25485.0
2026-04-14 08:11:00+00:00,2026-04-14 08:12:00+00:00,25619.125,25626.75,bullish,13.95,target,0.0,London AM,1,25615.375,25627.0
2026-04-14 15:58:00+00:00,2026-04-14 15:59:00+00:00,25882.25,25879.5,bullish,-7.8,stop_loss,0.0,NY AM,1,25879.25,25899.75
2026-04-14 19:35:00+00:00,2026-04-14 19:36:00+00:00,25972.0,25961.75,bullish,-11.8,stop_loss,0.0,NY PM,1,25967.0,25995.75
2026-04-15 08:22:00+00:00,2026-04-15 08:26:00+00:00,26005.75,26018.5,bullish,12.7,target,0.0,London AM,4,26002.75,26013.0
2026-04-15 20:06:00+00:00,2026-04-15 22:04:00+00:00,26339.625,26369.25,bullish,59.95,target,0.0,NY PM,58,26326.375,26370.5
2026-04-16 15:43:00+00:00,2026-04-16 16:01:00+00:00,26477.125,26544.75,bullish,127.45,target,0.0,NY AM,18,26456.375,26541.75
2026-04-16 19:11:00+00:00,2026-04-16 19:33:00+00:00,26434.125,26457.0,bullish,56.45,target,0.0,NY PM,22,26420.375,26463.25
2026-04-17 08:23:00+00:00,2026-04-17 08:29:00+00:00,26487.625,26496.75,bullish,9.95,target,0.0,London AM,6,26484.875,26493.5
2026-04-17 15:44:00+00:00,2026-04-17 16:00:00+00:00,26820.125,26805.0,bullish,-40.3,stop_loss,0.0,NY AM,16,26800.875,26868.5
2026-04-20 15:37:00+00:00,2026-04-20 15:45:00+00:00,26665.5,26656.5,bullish,-41.8,stop_loss,0.0,NY AM,8,26645.5,26710.5
2026-04-21 09:00:00+00:00,2026-04-21 09:01:00+00:00,26839.625,26833.75,bullish,-12.3,stop_loss,0.0,London AM,1,26834.375,26851.5
2026-04-21 19:15:00+00:00,2026-04-21 19:26:00+00:00,26720.0,26779.5,bullish,110.7,target,0.0,NY PM,11,26696.5,26776.25
2026-04-22 19:51:00+00:00,2026-04-22 19:52:00+00:00,27050.875,27070.75,bullish,28.95,target,0.0,NY PM,1,27043.625,27066.25
2026-04-23 19:35:00+00:00,2026-04-23 19:36:00+00:00,26893.625,26876.25,bullish,-43.3,stop_loss,0.0,NY PM,1,26872.875,26936.5
2026-04-24 08:51:00+00:00,2026-04-24 08:53:00+00:00,27095.625,27088.25,bullish,-16.3,stop_loss,0.0,London AM,2,27088.375,27112.0
2026-04-24 20:08:00+00:00,2026-04-24 20:33:00+00:00,27411.375,27436.0,bullish,50.45,target,0.0,NY PM,25,27399.125,27437.5
2026-04-27 08:06:00+00:00,2026-04-27 08:07:00+00:00,27413.75,27408.75,bullish,-13.8,stop_loss,0.0,London AM,1,27407.75,27434.5
2026-04-30 08:16:00+00:00,2026-04-30 08:22:00+00:00,27340.375,27329.5,bullish,-11.3,stop_loss,0.0,London AM,6,27335.625,27365.75
2026-04-30 15:36:00+00:00,2026-04-30 15:37:00+00:00,27395.375,27394.75,bullish,-29.3,stop_loss,0.0,NY AM,1,27381.625,27435.5
2026-04-30 19:51:00+00:00,2026-04-30 19:53:00+00:00,27590.625,27587.25,bullish,-16.3,stop_loss,0.0,NY PM,2,27583.375,27619.75
2026-05-01 15:51:00+00:00,2026-05-01 16:26:00+00:00,27836.875,27825.5,bullish,-37.3,stop_loss,0.0,NY AM,35,27819.125,27915.0
2026-05-04 19:18:00+00:00,2026-05-04 19:19:00+00:00,27774.375,27776.0,bullish,-6.3,stop_loss,0.0,NY PM,1,27772.125,27781.25
2025-11-04 19:45:00+00:00,2025-11-04 19:46:00+00:00,25596.75,25599.0,bearish,-19.8,stop_loss,0.0,NY PM,1,25605.75,25574.25
2025-11-05 08:07:00+00:00,2025-11-05 08:08:00+00:00,25493.625,25505.25,bearish,-26.3,stop_loss,0.0,London AM,1,25505.875,25466.0
2025-11-06 08:09:00+00:00,2025-11-06 08:11:00+00:00,25648.125,25648.5,bearish,-16.3,stop_loss,0.0,London AM,2,25655.375,25629.5
2025-11-07 15:11:00+00:00,2025-11-07 15:12:00+00:00,24982.125,25005.5,bearish,-59.3,stop_loss,0.0,NY AM,1,25010.875,24881.75
2025-11-10 19:12:00+00:00,2025-11-10 19:19:00+00:00,25671.625,25675.5,bearish,-10.3,stop_loss,0.0,NY PM,7,25675.875,25650.75
2025-11-12 08:03:00+00:00,2025-11-12 08:04:00+00:00,25778.875,25773.25,bearish,9.45,target,0.0,London AM,1,25780.125,25773.25
2025-11-12 15:41:00+00:00,2025-11-12 16:11:00+00:00,25598.25,25509.75,bearish,131.7,target,0.0,NY AM,30,25628.75,25531.5
2025-11-12 19:37:00+00:00,2025-11-12 20:07:00+00:00,25587.125,25557.25,bearish,67.45,target,0.0,NY PM,30,25602.375,25552.5
2025-11-13 19:59:00+00:00,2025-11-13 20:02:00+00:00,25060.0,25065.5,bearish,-21.8,stop_loss,0.0,NY PM,3,25070.0,25021.5
2025-11-14 08:55:00+00:00,2025-11-14 08:59:00+00:00,24959.0,24980.75,bearish,-47.8,stop_loss,0.0,London AM,4,24982.0,24908.25
2025-11-20 08:07:00+00:00,2025-11-20 08:10:00+00:00,25156.0,25161.75,bearish,-11.8,stop_loss,0.0,London AM,3,25161.0,25128.0
2025-11-21 15:26:00+00:00,2025-11-21 15:28:00+00:00,24190.625,24081.25,bearish,204.95,target,0.0,NY AM,2,24231.875,24087.25
2025-11-24 08:15:00+00:00,2025-11-24 08:18:00+00:00,24506.25,24529.5,bearish,-46.8,stop_loss,0.0,London AM,3,24528.75,24461.0
2025-11-26 08:16:00+00:00,2025-11-26 08:18:00+00:00,25215.875,25212.5,bearish,-5.3,stop_loss,0.0,London AM,2,25217.625,25202.75
2025-11-26 15:10:00+00:00,2025-11-26 15:25:00+00:00,25220.25,25149.25,bearish,138.7,target,0.0,NY AM,15,25245.75,25150.0
2025-11-26 19:43:00+00:00,2025-11-26 19:50:00+00:00,25332.25,25313.5,bearish,34.7,target,0.0,NY PM,7,25341.25,25314.0
2025-12-01 08:36:00+00:00,2025-12-01 08:37:00+00:00,25570.75,25577.0,bearish,-27.8,stop_loss,0.0,London AM,1,25583.75,25313.5
2025-12-01 15:41:00+00:00,2025-12-01 15:49:00+00:00,25606.75,25339.5,bearish,99.7,target,0.0,NY AM,8,25626.25,25556.0
2025-12-01 19:04:00+00:00,2025-12-01 19:10:00+00:00,25721.0,25447.0,bearish,503.7,target,0.0,NY PM,6,25727.0,25468.25
2025-12-02 08:18:00+00:00,2025-12-02 08:31:00+00:00,25587.875,25612.5,bearish,-50.3,stop_loss,0.0,London AM,13,25612.125,25343.25
2025-12-02 19:12:00+00:00,2025-12-02 19:14:00+00:00,25842.375,25860.0,bearish,-35.3,stop_loss,0.0,NY PM,2,25859.125,25588.25
2025-12-03 08:05:00+00:00,2025-12-03 08:12:00+00:00,25910.125,25650.5,bearish,508.45,target,0.0,London AM,7,25919.875,25655.0
2025-12-03 19:15:00+00:00,2025-12-03 19:17:00+00:00,25897.375,25900.25,bearish,-6.3,stop_loss,0.0,NY PM,2,25899.625,25641.0
2025-12-04 08:20:00+00:00,2025-12-04 08:41:00+00:00,25884.25,25637.75,bearish,492.7,target,0.0,London AM,21,25891.75,25637.0
2025-12-04 15:29:00+00:00,2025-12-04 15:30:00+00:00,25823.75,25841.5,bearish,-36.8,stop_loss,0.0,NY AM,1,25841.25,25772.5
2025-12-04 19:05:00+00:00,2025-12-04 19:06:00+00:00,25849.625,25855.75,bearish,-8.3,stop_loss,0.0,NY PM,1,25852.875,25603.0
2025-12-05 08:04:00+00:00,2025-12-05 08:22:00+00:00,25988.375,26006.25,bearish,-36.3,stop_loss,0.0,London AM,18,26005.625,25721.0
2025-12-05 19:12:00+00:00,2025-12-05 19:32:00+00:00,25984.0,25713.5,bearish,525.2,target,0.0,NY PM,20,25992.0,25720.5
2025-12-08 08:22:00+00:00,2025-12-08 08:28:00+00:00,26047.625,25790.0,bearish,506.95,target,0.0,London AM,6,26056.375,25793.25
2025-12-08 15:34:00+00:00,2025-12-08 15:49:00+00:00,25972.5,25948.0,bearish,67.2,target,0.0,NY AM,15,25977.5,25938.0
2025-12-08 19:15:00+00:00,2025-12-08 19:21:00+00:00,25828.625,25855.0,bearish,-53.3,stop_loss,0.0,NY PM,6,25854.375,25575.0
2025-12-09 08:24:00+00:00,2025-12-09 08:25:00+00:00,25951.5,25965.0,bearish,-31.8,stop_loss,0.0,London AM,1,25966.5,25700.5
2025-12-10 08:01:00+00:00,2025-12-10 08:07:00+00:00,25980.5,25988.0,bearish,-17.8,stop_loss,0.0,London AM,6,25988.5,25721.0
2025-12-11 08:45:00+00:00,2025-12-11 08:51:00+00:00,25740.0,25765.75,bearish,-38.8,stop_loss,0.0,London AM,6,25758.5,25490.0
2025-12-12 08:22:00+00:00,2025-12-12 08:29:00+00:00,25922.5,25677.0,bearish,493.2,target,0.0,London AM,7,25937.5,25675.0
2025-12-12 19:48:00+00:00,2025-12-12 19:52:00+00:00,25495.5,25499.0,bearish,-13.8,stop_loss,0.0,NY PM,4,25501.5,25483.0
2025-12-15 15:38:00+00:00,2025-12-15 15:44:00+00:00,25372.625,25388.75,bearish,-28.3,stop_loss,0.0,NY AM,6,25385.875,25303.25
2025-12-16 15:32:00+00:00,2025-12-16 15:47:00+00:00,25272.875,25289.0,bearish,-39.3,stop_loss,0.0,NY AM,15,25291.625,25176.0
2025-12-18 20:04:00+00:00,2025-12-18 20:06:00+00:00,25247.5,25264.0,bearish,-27.8,stop_loss,0.0,NY PM,2,25260.5,25193.75
2025-12-22 15:47:00+00:00,2025-12-22 16:15:00+00:00,25686.875,25706.5,bearish,-41.3,stop_loss,0.0,NY AM,28,25706.625,25642.25
2025-12-31 15:27:00+00:00,2025-12-31 15:55:00+00:00,25605.75,25567.0,bearish,73.2,target,0.0,NY AM,28,25621.25,25568.25
2026-01-05 19:13:00+00:00,2026-01-05 19:25:00+00:00,25605.75,25592.5,bearish,25.7,target,0.0,NY PM,12,25609.25,25592.0
2026-01-07 19:03:00+00:00,2026-01-07 19:07:00+00:00,25953.75,25946.75,bearish,22.2,target,0.0,NY PM,4,25959.25,25941.75
2026-01-08 15:07:00+00:00,2026-01-08 15:09:00+00:00,25647.75,25671.75,bearish,-46.8,stop_loss,0.0,NY AM,2,25670.25,25569.5
2026-01-09 15:15:00+00:00,2026-01-09 15:23:00+00:00,25751.125,25804.5,bearish,-57.3,stop_loss,0.0,NY AM,8,25778.875,25615.75
2026-01-15 08:10:00+00:00,2026-01-15 08:11:00+00:00,25704.125,25723.75,bearish,-32.3,stop_loss,0.0,London AM,1,25719.375,25673.5
2026-01-15 15:58:00+00:00,2026-01-15 16:02:00+00:00,25873.25,25901.5,bearish,-58.8,stop_loss,0.0,NY AM,4,25901.75,25804.5
2026-01-15 19:17:00+00:00,2026-01-15 19:18:00+00:00,25836.625,25847.0,bearish,-15.3,stop_loss,0.0,NY PM,1,25843.375,25821.5
2026-01-19 15:01:00+00:00,2026-01-19 15:03:00+00:00,25309.5,25325.75,bearish,-34.8,stop_loss,0.0,NY AM,2,25326.0,25274.0
2026-01-20 08:12:00+00:00,2026-01-20 08:13:00+00:00,25274.625,25276.5,bearish,-10.3,stop_loss,0.0,London AM,1,25278.875,25227.75
2026-01-22 19:08:00+00:00,2026-01-22 19:14:00+00:00,25697.375,25706.75,bearish,-27.3,stop_loss,0.0,NY PM,6,25710.125,25671.0
2026-01-23 08:07:00+00:00,2026-01-23 08:15:00+00:00,25689.375,25656.75,bearish,37.95,target,0.0,London AM,8,25698.625,25669.5
2026-01-26 19:30:00+00:00,2026-01-26 19:41:00+00:00,25899.25,25901.25,bearish,-12.8,stop_loss,0.0,NY PM,11,25904.75,25884.0
2026-01-28 15:17:00+00:00,2026-01-28 15:33:00+00:00,26254.25,26211.75,bearish,78.2,target,0.0,NY AM,16,26261.75,26214.25
2026-01-28 19:05:00+00:00,2026-01-28 19:25:00+00:00,26153.0,26164.25,bearish,-31.8,stop_loss,0.0,NY PM,20,26168.0,26122.0
2026-01-30 08:06:00+00:00,2026-01-30 08:09:00+00:00,25732.75,25689.25,bearish,91.2,target,0.0,London AM,3,25739.75,25686.25
2026-01-30 15:08:00+00:00,2026-01-30 15:30:00+00:00,25899.625,25794.0,bearish,168.95,target,0.0,NY AM,22,25937.375,25814.25
2026-01-30 19:35:00+00:00,2026-01-30 19:49:00+00:00,25735.375,25667.25,bearish,120.45,target,0.0,NY PM,14,25757.625,25674.25
2026-02-02 19:51:00+00:00,2026-02-02 19:52:00+00:00,25892.875,25884.5,bearish,6.95,target,0.0,NY PM,1,25894.625,25888.5
2026-02-03 08:05:00+00:00,2026-02-03 08:13:00+00:00,26012.125,26016.5,bearish,-21.3,stop_loss,0.0,London AM,8,26021.875,25990.5
2026-02-06 15:22:00+00:00,2026-02-06 15:34:00+00:00,24876.75,24917.25,bearish,-81.8,stop_loss,0.0,NY AM,12,24916.75,24792.5
2026-02-06 19:23:00+00:00,2026-02-06 19:24:00+00:00,25095.25,25100.5,bearish,-9.8,stop_loss,0.0,NY PM,1,25099.25,25073.5
2026-02-11 08:28:00+00:00,2026-02-11 08:33:00+00:00,25242.25,25250.25,bearish,-24.8,stop_loss,0.0,London AM,5,25253.75,25212.25
2026-02-11 19:05:00+00:00,2026-02-11 19:10:00+00:00,25290.75,25282.0,bearish,62.7,target,0.0,NY PM,5,25299.75,25258.5
2026-02-12 19:19:00+00:00,2026-02-12 19:43:00+00:00,24911.75,24936.25,bearish,-48.8,stop_loss,0.0,NY PM,24,24935.25,24846.0
2026-02-13 19:47:00+00:00,2026-02-13 19:53:00+00:00,24935.0,24899.75,bearish,82.7,target,0.0,NY PM,6,24952.5,24892.75
2026-02-16 15:51:00+00:00,2026-02-16 15:52:00+00:00,24719.875,24726.5,bearish,-17.3,stop_loss,0.0,NY AM,1,24727.625,24683.5
2026-02-18 19:09:00+00:00,2026-02-18 19:12:00+00:00,25021.375,25024.5,bearish,-12.3,stop_loss,0.0,NY PM,3,25026.625,25005.25
