timestamp_entry,timestamp_exit,direction,entry_price,exit_price,tp_price,sl_price,gap_size,pnl_usd,exit_reason,h1_sweep_bars_ago,m15_confirmed,kill_zone_active,vol_regime_pct,contracts
2025-10-10T02:38:00-04:00,2025-10-10T03:39:00-04:00,BEARISH,25322.375,25316.5,25233.875,25396.125,14.75,54.75,TIME_STOP,0,False,False,0.3478,5
2025-10-10T10:03:00-04:00,2025-10-10T10:58:00-04:00,BEARISH,25350.875,25286.375,25286.375,25404.625,10.75,641.0,TP,0,False,True,0.1739,5
2025-10-15T08:22:00-04:00,2025-10-15T09:24:00-04:00,BEARISH,25012.125,24999.5,24905.625,25100.875,17.75,122.25,TIME_STOP,0,False,False,0.0,5
2025-10-15T13:10:00-04:00,2025-10-15T14:35:00-04:00,BEARISH,24813.375,24919.25,24649.875,24949.625,27.25,-1062.75,TIME_STOP,0,False,False,0.1739,5
2025-10-16T12:32:00-04:00,2025-10-16T13:51:00-04:00,BEARISH,24852.625,24859.0,24686.125,24991.375,27.75,-67.75,TIME_STOP,0,False,False,0.087,5
2025-10-16T14:14:00-04:00,2025-10-16T15:22:00-04:00,BEARISH,24729.125,24699.5,24550.625,24877.875,29.75,292.25,TIME_STOP,1,False,False,0.6957,5
2025-10-17T10:46:00-04:00,2025-10-17T11:46:00-04:00,BEARISH,24827.875,24786.75,24658.375,24969.125,28.25,407.25,TIME_STOP,0,False,True,0.6739,5
2025-10-24T09:49:00-04:00,2025-10-24T10:56:00-04:00,BEARISH,25504.75,25464.0,25426.75,25569.75,13.0,403.5,TIME_STOP,1,False,True,0.0435,5
2025-10-31T10:23:00-04:00,2025-10-31T11:23:00-04:00,BEARISH,26092.625,26157.5,25974.125,26191.375,19.75,-652.75,TIME_STOP,0,False,True,0.087,5
2025-11-03T10:17:00-05:00,2025-11-03T12:58:00-05:00,BEARISH,26118.625,26155.0,26033.125,26189.875,14.25,-367.75,TIME_STOP,0,False,True,0.0217,5
2025-11-06T09:42:00-05:00,2025-11-06T10:01:00-05:00,BEARISH,25633.125,25508.625,25508.625,25736.875,20.75,1241.0,TP,0,False,True,0.0,5
2025-11-06T10:14:00-05:00,2025-11-06T10:45:00-05:00,BEARISH,25461.375,25336.875,25336.875,25565.125,20.75,1241.0,TP,0,False,True,0.0652,5
2025-11-10T15:57:00-05:00,2025-11-10T18:03:00-05:00,BEARISH,25734.5,25715.0,25584.5,25859.5,25.0,191.0,TIME_STOP,1,False,False,0.0217,5
2025-11-17T10:05:00-05:00,2025-11-17T11:06:00-05:00,BEARISH,25156.25,25042.25,25000.25,25286.25,26.0,1136.0,TIME_STOP,0,False,True,0.0652,5
2025-11-26T10:01:00-05:00,2025-11-26T10:36:00-05:00,BEARISH,25174.125,25240.375,25094.625,25240.375,13.25,-666.5,SL,0,False,True,0.0217,5
2025-12-17T10:27:00-05:00,2025-12-17T10:40:00-05:00,BEARISH,25305.875,25187.375,25187.375,25404.625,19.75,1181.0,TP,0,False,True,0.0435,5
2025-12-18T12:08:00-05:00,2025-12-18T13:41:00-05:00,BEARISH,25322.875,25383.0,25201.375,25424.125,20.25,-605.25,TIME_STOP,1,False,False,0.1739,5
2025-12-19T09:27:00-05:00,2025-12-19T09:33:00-05:00,BEARISH,25362.625,25448.875,25259.125,25448.875,17.25,-866.5,SL,1,False,False,0.0,5
2025-12-24T10:24:00-05:00,2025-12-24T11:34:00-05:00,BEARISH,25824.375,25863.125,25777.875,25863.125,7.75,-391.5,SL,0,False,True,0.0652,5
2025-12-26T09:52:00-05:00,2025-12-26T10:02:00-05:00,BEARISH,25904.875,25852.375,25852.375,25948.625,8.75,521.0,TP,0,False,True,0.5,5
2025-12-26T10:03:00-05:00,2025-12-26T11:04:00-05:00,BEARISH,25860.625,25909.25,25778.125,25929.375,13.75,-490.25,TIME_STOP,0,False,True,0.5217,5
2026-01-05T08:22:00-05:00,2026-01-05T10:03:00-05:00,BEARISH,25775.75,25840.0,25622.75,25903.25,25.5,-646.5,TIME_STOP,5,False,False,0.1087,5
2026-01-07T21:48:00-05:00,2026-01-08T05:55:00-05:00,BEARISH,26022.5,25990.0,25932.5,26097.5,15.0,321.0,TIME_STOP,2,False,False,0.6739,5
2026-01-08T09:32:00-05:00,2026-01-08T09:44:00-05:00,BEARISH,25984.25,25852.25,25852.25,26094.25,22.0,1316.0,TP,0,False,True,0.4348,5
2026-01-08T10:01:00-05:00,2026-01-08T11:13:00-05:00,BEARISH,25837.0,25883.25,25657.0,25987.0,30.0,-466.5,TIME_STOP,0,False,True,0.7174,5
2026-01-09T10:08:00-05:00,2026-01-09T10:23:00-05:00,BEARISH,25908.875,26002.625,25796.375,26002.625,18.75,-941.5,SL,0,False,True,0.1087,5
2026-01-12T09:46:00-05:00,2026-01-12T11:00:00-05:00,BEARISH,26093.0,26146.5,25970.0,26195.5,20.5,-539.0,TIME_STOP,0,False,True,0.0435,5
2026-01-15T10:16:00-05:00,2026-01-15T11:20:00-05:00,BEARISH,26099.75,26144.5,26000.75,26182.25,16.5,-451.5,TIME_STOP,0,False,True,0.1957,5
2026-01-15T11:28:00-05:00,2026-01-15T13:03:00-05:00,BEARISH,26142.0,26101.25,26022.0,26242.0,20.0,403.5,TIME_STOP,0,False,False,0.2174,5
2026-01-16T10:11:00-05:00,2026-01-16T10:31:00-05:00,BEARISH,25979.0,25895.0,25895.0,26049.0,14.0,836.0,TP,0,False,True,0.0652,5
2026-01-16T10:31:00-05:00,2026-01-16T12:17:00-05:00,BEARISH,25909.875,25933.75,25806.375,25996.125,17.25,-242.75,TIME_STOP,0,False,True,0.0652,5
2026-01-19T19:30:00-05:00,2026-01-19T21:38:00-05:00,BEARISH,25565.5,25652.75,25439.5,25670.5,21.0,-876.5,TIME_STOP,1,False,False,0.6304,5
2026-01-21T04:25:00-05:00,2026-01-21T09:59:00-05:00,BEARISH,25423.0,25553.0,25267.0,25553.0,26.0,-1304.0,SL,1,False,False,0.6522,5
2026-01-22T10:52:00-05:00,2026-01-22T12:51:00-05:00,BEARISH,25871.625,25945.0,25729.125,25990.375,23.75,-737.75,TIME_STOP,0,False,True,0.2174,5
2026-01-22T14:40:00-05:00,2026-01-23T03:50:00-05:00,BEARISH,25924.0,25836.5,25756.0,26064.0,28.0,871.0,TIME_STOP,0,False,False,0.0435,5
2026-01-23T03:54:00-05:00,2026-01-23T06:14:00-05:00,BEARISH,25835.125,25858.0,25662.625,25978.875,28.75,-232.75,TIME_STOP,0,False,False,0.087,5
2026-01-23T08:21:00-05:00,2026-01-23T10:03:00-05:00,BEARISH,25845.625,25929.375,25745.125,25929.375,16.75,-841.5,SL,1,False,False,0.0,5
2026-01-26T10:12:00-05:00,2026-01-26T11:32:00-05:00,BEARISH,26052.25,26149.75,25935.25,26149.75,19.5,-979.0,SL,0,False,True,0.5,5
2026-01-28T01:46:00-05:00,2026-01-28T04:08:00-05:00,BEARISH,26553.125,26499.5,26398.625,26681.875,25.75,532.25,TIME_STOP,1,False,False,0.3261,5
2026-01-28T11:23:00-05:00,2026-01-28T12:43:00-05:00,BEARISH,26400.5,26360.75,26286.5,26495.5,19.0,393.5,TIME_STOP,0,False,False,0.587,5
2026-01-30T09:29:00-05:00,2026-01-30T10:35:00-05:00,BEARISH,26054.125,26031.25,25884.625,26195.375,28.25,224.75,TIME_STOP,1,False,False,0.6739,5
2026-01-30T13:00:00-05:00,2026-01-30T14:07:00-05:00,BEARISH,25934.5,26007.0,25775.5,26067.0,26.5,-729.0,TIME_STOP,2,False,False,0.4565,5
2026-02-02T15:01:00-05:00,2026-02-02T18:14:00-05:00,BEARISH,26105.5,26141.0,25931.5,26250.5,29.0,-359.0,TIME_STOP,0,False,False,0.3913,5
2026-02-04T08:50:00-05:00,2026-02-04T10:01:00-05:00,BEARISH,25595.0,25415.0,25415.0,25745.0,30.0,1796.0,TP,0,False,False,0.2609,5
2026-02-09T21:38:00-05:00,2026-02-10T00:36:00-05:00,BEARISH,25521.5,25571.25,25383.5,25636.5,23.0,-501.5,TIME_STOP,0,False,False,0.1087,5
2026-02-11T10:10:00-05:00,2026-02-11T12:03:00-05:00,BEARISH,25485.375,25375.875,25375.875,25576.625,18.25,1091.0,TP,0,False,True,0.4783,5
2026-02-12T14:12:00-05:00,2026-02-12T15:20:00-05:00,BEARISH,25098.75,25063.25,24927.75,25241.25,28.5,351.0,TIME_STOP,4,False,False,0.587,5
2026-02-12T15:49:00-05:00,2026-02-12T18:32:00-05:00,BEARISH,25013.125,25062.0,24873.625,25129.375,23.25,-492.75,TIME_STOP,5,False,False,0.6087,5
2026-02-13T09:08:00-05:00,2026-02-13T09:41:00-05:00,BEARISH,24984.0,24837.0,24837.0,25106.5,24.5,1466.0,TP,0,False,False,0.4348,5
2026-02-18T07:28:00-05:00,2026-02-18T10:05:00-05:00,BEARISH,25139.0,25231.5,25028.0,25231.5,18.5,-929.0,SL,0,False,False,0.4348,5
2026-02-19T04:38:00-05:00,2026-02-19T11:05:00-05:00,BEARISH,25141.625,25107.0,24981.125,25275.375,26.75,342.25,TIME_STOP,0,False,False,0.5217,5
2026-02-19T11:05:00-05:00,2026-02-19T12:23:00-05:00,BEARISH,25118.125,25103.5,24984.625,25229.375,22.25,142.25,TIME_STOP,0,False,False,0.2174,5
2026-02-19T12:29:00-05:00,2026-02-20T00:10:00-05:00,BEARISH,25085.625,25130.0,24973.125,25179.375,18.75,-447.75,TIME_STOP,0,False,False,0.2174,5
2026-02-20T06:51:00-05:00,2026-02-20T09:30:00-05:00,BEARISH,25064.25,24920.0,24911.25,25191.75,25.5,1438.5,TIME_STOP,0,False,False,0.5217,5
