entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-26 15:10:00+00:00,2024-01-26 15:20:00+00:00,17534.625,17552.5,bullish,7.9375,gap_fill,635.0,2
2024-01-26 15:15:00+00:00,2024-01-26 15:30:00+00:00,17523.5,17600.75,bearish,-39.0,stop_loss,780.0,3
2024-01-26 15:20:00+00:00,2024-01-26 15:25:00+00:00,17532.25,17578.5,bullish,4.125,gap_fill,330.0,1
2024-01-26 15:25:00+00:00,2024-01-26 18:00:00+00:00,17548.25,17527.0,bearish,15.75,gap_fill,1260.0,7
2024-01-26 15:30:00+00:00,2024-01-26 18:00:00+00:00,17563.25,17527.0,bearish,19.625,gap_fill,1570.0,6
2024-01-26 15:35:00+00:00,2024-01-26 18:00:00+00:00,17579.75,17527.0,bearish,14.5,gap_fill,1160.0,5
2024-01-26 15:40:00+00:00,2024-01-26 15:45:00+00:00,17595.75,17604.5,bullish,3.375,gap_fill,270.0,1
2024-01-26 15:45:00+00:00,2024-01-26 18:00:00+00:00,17595.875,17527.0,bearish,5.3125,gap_fill,425.0,3
2024-01-26 15:50:00+00:00,2024-01-26 18:00:00+00:00,17603.125,17527.0,bearish,7.0625,gap_fill,565.0,2
2024-01-26 15:55:00+00:00,2024-01-26 18:00:00+00:00,17609.0,17527.0,bearish,7.625,gap_fill,610.0,1
2024-01-26 18:00:00+00:00,2024-01-26 19:40:00+00:00,17565.375,17551.25,bullish,-7.0625,time_exit,2075.0,20
2024-01-26 18:05:00+00:00,2024-01-26 19:45:00+00:00,17571.75,17562.25,bullish,-4.75,time_exit,2100.0,20
2024-01-26 18:10:00+00:00,2024-01-26 18:40:00+00:00,17527.625,17519.75,bearish,7.0625,gap_fill,565.0,6
2024-01-26 18:15:00+00:00,2024-01-26 18:20:00+00:00,17528.0,17540.5,bearish,4.375,gap_fill,350.0,1
2024-01-26 18:20:00+00:00,2024-01-26 18:25:00+00:00,17529.375,17534.5,bullish,6.1875,gap_fill,495.0,1
2024-01-26 18:25:00+00:00,2024-01-26 18:40:00+00:00,17535.5,17519.75,bearish,6.875,gap_fill,550.0,3
2024-01-26 18:30:00+00:00,2024-01-26 18:35:00+00:00,17538.0,17543.0,bullish,2.5,gap_fill,200.0,1
2024-01-26 18:35:00+00:00,2024-01-26 18:45:00+00:00,17541.125,17514.5,bullish,-16.25,stop_loss,325.0,2
2024-01-26 18:40:00+00:00,2024-01-26 18:45:00+00:00,17538.0,17514.5,bearish,2.5,gap_fill,200.0,1
2024-01-26 18:45:00+00:00,2024-01-26 19:40:00+00:00,17528.0,17551.25,bullish,10.125,gap_fill,810.0,11
2024-01-26 18:50:00+00:00,2024-01-26 19:05:00+00:00,17524.875,17537.5,bullish,9.0625,gap_fill,725.0,3
