slow_length,entry_line,exit_type,mtf_slope_filter,sl_pct,tp_pct,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe,pct_sl,pct_tp,pct_timeout
200,upper,midline,False,0.02,0.02,6905,37.2,0.9777,59.5,-20634.5,-0.36,1.3,1.6,0.0
400,mid,midline,False,0.005,0.03,8718,44.2,0.9777,39.3,-15771.5,-0.34,12.7,0.4,0.1
200,mid,timeout,True,0.005,0.01,1438,36.6,0.9776,189.2,-9051.5,-0.27,57.4,26.8,15.8
500,lower,upper_rail,False,0.005,0.03,3172,51.0,0.9774,94.2,-15372.0,-0.41,44.9,0.0,0.8
400,mid,timeout,True,0.01,0.01,1001,49.8,0.9771,296.3,-8249.0,-0.24,32.6,32.0,35.5
400,lower,upper_rail,True,0.005,0.02,628,52.9,0.9768,101.2,-2949.0,-0.21,41.9,0.2,0.2
300,mid,upper_rail,False,0.02,0.01,5117,71.6,0.9767,72.8,-16973.5,-0.35,3.5,1.3,0.1
500,mid,midline,False,0.01,0.02,7429,45.5,0.9766,47.5,-14547.0,-0.32,5.3,1.4,0.3
300,mid,midline,True,0.02,0.03,2364,54.2,0.9765,40.5,-4278.0,-0.17,1.1,0.3,0.0
500,lower,midline,True,0.01,0.03,612,66.5,0.9762,89.6,-2607.0,-0.19,15.7,0.0,0.0
500,lower,midline,True,0.01,0.02,612,66.5,0.9762,89.6,-2607.0,-0.19,15.7,0.0,0.0
300,lower,timeout,False,0.02,0.01,1874,57.0,0.9758,329.0,-18876.0,-0.31,14.5,38.6,46.9
200,upper,midline,False,0.005,0.03,7020,35.8,0.9758,54.5,-22242.5,-0.43,17.3,0.4,0.0
400,lower,timeout,False,0.02,0.01,1775,57.1,0.9757,327.3,-18107.0,-0.31,14.6,39.0,46.4
300,lower,midline,False,0.01,0.03,5354,68.4,0.9756,50.6,-18294.0,-0.42,11.0,0.0,0.0
300,mid,upper_rail,False,0.005,0.02,6604,65.4,0.9754,44.2,-21066.5,-0.54,26.3,0.3,0.0
400,mid,timeout,False,0.01,0.02,1917,44.0,0.9753,330.2,-19247.0,-0.31,39.2,12.0,48.8
200,upper,upper_rail,True,0.005,0.03,5146,63.2,0.9752,32.0,-10651.5,-0.35,15.8,0.2,0.0
500,upper,timeout,False,0.005,0.03,2071,30.3,0.9751,241.4,-16110.5,-0.3,64.6,4.2,31.2
400,upper,upper_rail,True,0.01,0.02,3796,60.6,0.975,49.0,-8262.5,-0.27,6.7,0.7,0.2
300,lower,midline,False,0.01,0.02,5354,68.4,0.975,50.6,-18795.0,-0.43,11.0,0.1,0.0
400,lower,upper_rail,True,0.005,0.03,628,52.9,0.975,101.2,-3179.0,-0.23,41.9,0.0,0.2
200,upper,midline,False,0.02,0.03,6866,37.1,0.9749,60.7,-23085.5,-0.39,1.3,0.5,0.0
400,lower,upper_rail,True,0.005,0.01,630,52.9,0.9746,99.6,-3247.5,-0.23,41.9,3.0,0.0
300,upper,midline,True,0.01,0.03,2896,36.4,0.9746,70.9,-9918.0,-0.28,5.8,0.4,0.0
300,upper,timeout,True,0.005,0.03,1547,31.3,0.9746,263.4,-11923.0,-0.26,62.5,3.7,33.7
500,lower,timeout,False,0.02,0.02,1459,51.3,0.9743,410.3,-17235.5,-0.28,15.7,13.5,70.8
300,upper,upper_rail,False,0.01,0.02,8453,56.7,0.9741,40.3,-18082.5,-0.4,5.9,0.7,0.0
400,lower,midline,False,0.02,0.01,4085,70.6,0.974,69.7,-17367.5,-0.37,4.6,1.2,0.0
300,upper,midline,True,0.02,0.01,3004,37.6,0.9738,65.8,-10543.0,-0.29,1.4,8.5,0.0
200,mid,midline,False,0.02,0.01,11775,47.0,0.9737,31.6,-23718.0,-0.47,0.8,3.5,0.0
400,mid,midline,False,0.005,0.01,8911,44.9,0.9736,33.4,-18698.5,-0.47,12.4,4.8,0.0
300,lower,upper_rail,False,0.01,0.03,3676,61.9,0.9736,98.2,-20631.5,-0.42,18.7,0.1,0.1
300,lower,upper_rail,False,0.02,0.03,3350,64.1,0.9733,114.5,-19348.5,-0.37,6.0,0.1,0.1
400,upper,upper_rail,False,0.005,0.02,7753,53.9,0.973,34.0,-16898.0,-0.44,14.4,0.9,0.1
300,lower,midline,False,0.01,0.01,5365,68.4,0.9727,50.4,-20549.5,-0.48,11.0,0.8,0.0
500,mid,timeout,False,0.02,0.03,1483,49.4,0.9726,433.0,-18415.0,-0.28,14.6,5.3,80.2
300,lower,upper_rail,False,0.01,0.02,3677,62.0,0.9716,98.1,-22222.5,-0.46,18.7,0.3,0.1
500,upper,timeout,True,0.02,0.02,1111,50.9,0.9716,417.1,-13641.0,-0.26,13.6,12.2,74.2
300,mid,upper_rail,False,0.005,0.01,6623,65.6,0.9714,43.8,-24473.0,-0.63,26.2,1.2,0.0
