timestamp,month,pnl_base,pnl_dep,cum_baseline,cum_deployed
1750945260000000000,2025-06,-106.8,-106.8,-371.50000000000057,61.949999999999434
1751290080000000000,2025-06,23.2,0.0,-348.3000000000006,61.949999999999434
1751290740000000000,2025-06,4.2,4.2,-344.1000000000006,66.14999999999944
1751306880000000000,2025-06,-31.8,0.0,-375.9000000000006,66.14999999999944
1751307300000000000,2025-06,33.2,0.0,-342.7000000000006,66.14999999999944
1751307780000000000,2025-06,-16.8,0.0,-359.5000000000006,66.14999999999944
1751309340000000000,2025-06,33.2,0.0,-326.30000000000064,66.14999999999944
1751375820000000000,2025-07,-24.3,-24.3,-350.60000000000065,41.84999999999944
1751377740000000000,2025-07,35.7,35.7,-314.90000000000066,77.54999999999944
1751379720000000000,2025-07,-86.8,-86.8,-401.70000000000067,-9.250000000000554
1751381400000000000,2025-07,15.7,15.7,-386.0000000000007,6.449999999999445
1751393100000000000,2025-07,10.7,10.7,-375.3000000000007,17.149999999999444
1751395140000000000,2025-07,18.2,18.2,-357.1000000000007,35.34999999999944
1751461320000000000,2025-07,63.2,63.2,-293.9000000000007,98.54999999999944
1751461680000000000,2025-07,95.7,95.7,-198.20000000000073,194.24999999999943
1751464260000000000,2025-07,145.7,145.7,-52.50000000000074,339.9499999999994
1751468160000000000,2025-07,59.7,59.7,7.199999999999264,399.6499999999994
1751479440000000000,2025-07,-14.3,-14.3,-7.100000000000737,385.3499999999994
1751480340000000000,2025-07,-39.3,-39.3,-46.40000000000073,346.0499999999994
1751527200000000000,2025-07,-24.3,-24.3,-70.70000000000073,321.7499999999994
1751529720000000000,2025-07,13.2,13.2,-57.500000000000725,334.94999999999936
1751548500000000000,2025-07,-54.3,-54.3,-111.80000000000072,280.64999999999935
1751550360000000000,2025-07,10.7,10.7,-101.10000000000072,291.34999999999934
1751552400000000000,2025-07,-21.8,-21.8,-122.90000000000072,269.54999999999933
1751553360000000000,2025-07,18.2,18.2,-104.70000000000071,287.7499999999993
1751612760000000000,2025-07,-24.3,-24.3,-129.0000000000007,263.4499999999993
1751613060000000000,2025-07,-9.3,-9.3,-138.30000000000072,254.1499999999993
1751614260000000000,2025-07,8.2,8.2,-130.10000000000073,262.3499999999993
1751893560000000000,2025-07,23.2,23.2,-106.90000000000073,285.5499999999993
1751895240000000000,2025-07,-24.3,-24.3,-131.20000000000073,261.24999999999926
1751895600000000000,2025-07,-26.8,-26.8,-158.00000000000074,234.44999999999925
1751896140000000000,2025-07,105.7,105.7,-52.300000000000736,340.14999999999924
