month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-07,2025-07-08T09:04:00+00:00,2025-07-08T09:05:00+00:00,108300.0,108312.0,bearish,-14.0,stop_loss,London AM,SIDEWAYS,64.5
2025-07,2025-07-08T14:23:00+00:00,2025-07-08T14:24:00+00:00,108624.5,108576.0,bearish,46.5,target,NY AM,SIDEWAYS,111.0
2025-07,2025-07-09T14:45:00+00:00,2025-07-09T14:51:00+00:00,108711.0,108783.0,bearish,-74.0,stop_loss,NY AM,UP,37.0
2025-07,2025-07-21T08:20:00+00:00,2025-07-21T08:22:00+00:00,119424.0,119375.0,bearish,47.0,target,London AM,UP,84.0
2025-07,2025-07-22T08:35:00+00:00,2025-07-22T08:36:00+00:00,118058.5,118163.5,bearish,-107.0,stop_loss,London AM,SIDEWAYS,-23.0
2025-07,2025-07-23T08:47:00+00:00,2025-07-23T08:48:00+00:00,118456.0,118484.0,bearish,-30.0,stop_loss,London AM,SIDEWAYS,-53.0
2025-07,2025-07-25T14:24:00+00:00,2025-07-25T14:25:00+00:00,115767.5,115818.5,bearish,-53.0,stop_loss,NY AM,SIDEWAYS,-106.0
2025-07,2025-07-28T14:41:00+00:00,2025-07-28T14:44:00+00:00,118233.0,118339.0,bearish,-108.0,stop_loss,NY AM,SIDEWAYS,-214.0
2025-07,2025-07-29T08:39:00+00:00,2025-07-29T08:40:00+00:00,118927.0,118933.0,bearish,-8.0,stop_loss,London AM,SIDEWAYS,-222.0
2025-08,2025-08-01T08:20:00+00:00,2025-08-01T08:22:00+00:00,114601.0,114531.0,bullish,-72.0,stop_loss,London AM,DOWN,-294.0
2025-08,2025-08-01T14:31:00+00:00,2025-08-01T14:41:00+00:00,115599.0,115561.0,bullish,-40.0,stop_loss,NY AM,SIDEWAYS,-334.0
2025-08,2025-08-04T08:29:00+00:00,2025-08-04T08:30:00+00:00,114533.5,114470.5,bullish,-65.0,stop_loss,London AM,SIDEWAYS,-399.0
2025-08,2025-08-08T08:56:00+00:00,2025-08-08T09:07:00+00:00,116641.0,116617.0,bullish,-26.0,stop_loss,London AM,SIDEWAYS,-425.0
2025-08,2025-08-12T14:29:00+00:00,2025-08-12T14:31:00+00:00,119291.5,119208.5,bullish,-85.0,stop_loss,NY AM,SIDEWAYS,-510.0
2025-08,2025-08-15T08:13:00+00:00,2025-08-15T08:14:00+00:00,119151.5,119070.5,bullish,-83.0,stop_loss,London AM,SIDEWAYS,-593.0
2025-08,2025-08-18T08:16:00+00:00,2025-08-18T08:31:00+00:00,115210.5,115460.0,bullish,247.5,target,London AM,DOWN,-345.5
2025-08,2025-08-20T08:35:00+00:00,2025-08-20T08:37:00+00:00,113867.5,113852.5,bullish,-17.0,stop_loss,London AM,SIDEWAYS,-362.5
2025-08,2025-08-25T08:50:00+00:00,2025-08-25T08:53:00+00:00,111617.0,111708.0,bullish,89.0,target,London AM,DOWN,-273.5
2025-08,2025-08-25T14:21:00+00:00,2025-08-25T14:24:00+00:00,111971.0,112235.0,bullish,262.0,target,NY AM,DOWN,-11.5
2025-08,2025-08-26T08:19:00+00:00,2025-08-26T08:20:00+00:00,110310.5,110291.5,bullish,-21.0,stop_loss,London AM,SIDEWAYS,-32.5
2025-08,2025-08-26T14:15:00+00:00,2025-08-26T14:22:00+00:00,109968.5,110327.0,bullish,356.5,target,NY AM,DOWN,324.0
