month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-09,2025-09-01T08:54:00+00:00,2025-09-01T08:56:00+00:00,109600.0,109560.0,bullish,-42.0,stop_loss,London AM,SIDEWAYS,613.5
2025-09,2025-09-01T14:23:00+00:00,2025-09-01T14:28:00+00:00,109094.5,109053.5,bullish,-43.0,stop_loss,NY AM,SIDEWAYS,570.5
2025-09,2025-09-05T08:34:00+00:00,2025-09-05T08:35:00+00:00,112776.0,112758.0,bullish,-20.0,stop_loss,London AM,UP,550.5
2025-09,2025-09-08T08:03:00+00:00,2025-09-08T08:04:00+00:00,111284.5,111336.0,bullish,49.5,target,London AM,UP,600.0
2025-09,2025-09-09T08:11:00+00:00,2025-09-09T08:18:00+00:00,113054.5,113009.5,bullish,-47.0,stop_loss,London AM,UP,553.0
2025-09,2025-09-10T14:45:00+00:00,2025-09-10T14:46:00+00:00,114109.0,114071.0,bullish,-40.0,stop_loss,NY AM,UP,513.0
2025-09,2025-09-12T08:31:00+00:00,2025-09-12T08:34:00+00:00,115198.0,115152.0,bullish,-48.0,stop_loss,London AM,SIDEWAYS,465.0
2025-09,2025-09-12T14:14:00+00:00,2025-09-12T14:37:00+00:00,115174.5,115047.5,bullish,-129.0,stop_loss,NY AM,SIDEWAYS,336.0
2025-09,2025-09-16T08:57:00+00:00,2025-09-16T09:28:00+00:00,115700.5,115653.5,bullish,-49.0,stop_loss,London AM,UP,287.0
2025-09,2025-09-16T14:51:00+00:00,2025-09-16T14:52:00+00:00,115283.0,115277.0,bullish,-8.0,stop_loss,NY AM,SIDEWAYS,279.0
2025-09,2025-09-17T08:54:00+00:00,2025-09-17T09:01:00+00:00,116904.0,116854.0,bullish,-52.0,stop_loss,London AM,UP,227.0
2025-09,2025-09-22T14:40:00+00:00,2025-09-22T14:55:00+00:00,113066.0,112906.0,bullish,-162.0,stop_loss,NY AM,SIDEWAYS,65.0
2025-09,2025-09-23T08:23:00+00:00,2025-09-23T08:28:00+00:00,113199.0,113276.0,bullish,75.0,target,London AM,SIDEWAYS,140.0
