entry_time,exit_time,direction,entry_price,exit_price,exit_type,bars_held,pnl
2025-09-04T17:30:00+00:00,2025-09-05T11:38:00+00:00,SHORT,4.492,4.5045,sl,1,-31.25
2025-09-22T02:43:00+00:00,2025-09-22T04:31:00+00:00,SHORT,4.634,4.6365,time,60,-6.25
2025-09-22T07:02:00+00:00,2025-09-22T08:06:00+00:00,SHORT,4.632,4.6395,time,60,-18.75
2025-09-24T06:27:00+00:00,2025-09-24T07:45:00+00:00,SHORT,4.6405,4.6335,time,60,17.5
2025-10-01T09:08:00+00:00,2025-10-01T10:15:00+00:00,SHORT,4.851,4.861,time,60,-25.0
2025-10-01T12:51:00+00:00,2025-10-01T13:18:00+00:00,SHORT,4.8385,4.8545,sl,12,-40.0
2025-10-02T14:57:00+00:00,2025-10-02T15:02:00+00:00,SHORT,4.907,4.923,sl,4,-40.0
2025-10-08T12:39:00+00:00,2025-10-08T13:42:00+00:00,SHORT,5.102,5.1035,time,60,-3.75
2025-10-08T22:02:00+00:00,2025-10-09T00:01:00+00:00,SHORT,5.075,5.058,time,60,42.5
2025-10-13T23:54:00+00:00,2025-10-14T00:58:00+00:00,SHORT,5.1615,5.15,time,60,28.75
2025-10-14T01:47:00+00:00,2025-10-14T04:35:00+00:00,SHORT,5.136,5.0815,time,60,136.25
2025-10-15T15:36:00+00:00,2025-10-15T16:47:00+00:00,SHORT,5.016,5.009,time,60,17.5
2025-10-16T18:07:00+00:00,2025-10-16T19:12:00+00:00,SHORT,4.9795,4.977,time,60,6.25
2025-10-20T01:32:00+00:00,2025-10-20T02:24:00+00:00,SHORT,5.011,5.033,sl,38,-55.0
2025-10-24T13:41:00+00:00,2025-10-24T14:12:00+00:00,SHORT,5.084,5.101,sl,24,-42.5
2025-10-28T01:34:00+00:00,2025-10-28T02:46:00+00:00,SHORT,5.1715,5.1705,time,60,2.5
2025-11-03T14:52:00+00:00,2025-11-03T16:00:00+00:00,SHORT,5.072,5.0685,time,60,8.75
2025-11-12T08:10:00+00:00,2025-11-12T09:26:00+00:00,SHORT,5.074,5.0665,time,60,18.75
2025-11-13T13:32:00+00:00,2025-11-13T13:52:00+00:00,SHORT,5.135,5.144,sl,9,-22.5
2025-11-13T14:09:00+00:00,2025-11-13T14:19:00+00:00,SHORT,5.141,5.152,sl,7,-27.5
2025-11-13T14:44:00+00:00,2025-11-13T16:14:00+00:00,SHORT,5.148,5.136,time,60,30.0
2025-11-19T13:53:00+00:00,2025-11-19T16:15:00+00:00,SHORT,5.0305,5.0015,time,60,72.5
2025-11-20T13:46:00+00:00,2025-11-20T13:51:00+00:00,SHORT,5.032,5.042,sl,2,-25.0
2025-12-18T01:04:00+00:00,2025-12-18T03:07:00+00:00,SHORT,5.402,5.387,time,60,37.5
2025-12-18T06:24:00+00:00,2025-12-18T07:00:00+00:00,SHORT,5.3955,5.4085,sl,24,-32.5
2025-12-18T13:59:00+00:00,2025-12-18T14:47:00+00:00,SHORT,5.4375,5.386,tp,44,128.75
2025-12-22T08:08:00+00:00,2025-12-22T09:10:00+00:00,SHORT,5.546,5.5205,time,60,63.75
2026-01-02T15:12:00+00:00,2026-01-02T16:43:00+00:00,SHORT,5.712,5.7015,time,60,26.25
2026-01-07T05:32:00+00:00,2026-01-07T07:17:00+00:00,SHORT,5.9855,5.988,time,60,-6.25
2026-01-08T14:06:00+00:00,2026-01-08T15:40:00+00:00,SHORT,5.774,5.796,sl,23,-55.0
2026-01-14T05:57:00+00:00,2026-01-14T07:04:00+00:00,SHORT,6.075,6.07,time,60,12.5
2026-01-14T12:51:00+00:00,2026-01-14T13:55:00+00:00,SHORT,6.0685,6.041,time,60,68.75
2026-01-15T01:33:00+00:00,2026-01-15T02:34:00+00:00,SHORT,6.0,6.0145,time,60,-36.25
2026-01-20T01:58:00+00:00,2026-01-20T04:26:00+00:00,SHORT,5.8695,5.8765,time,60,-17.5
2026-01-21T18:15:00+00:00,2026-01-21T19:29:00+00:00,SHORT,5.746,5.7455,time,60,1.25
2026-02-04T14:39:00+00:00,2026-02-04T15:53:00+00:00,SHORT,5.986,5.9365,time,60,123.75
2026-02-09T10:33:00+00:00,2026-02-09T11:39:00+00:00,SHORT,5.8635,5.8835,sl,46,-50.0
2026-02-11T15:39:00+00:00,2026-02-11T16:41:00+00:00,SHORT,5.92,5.9425,time,60,-56.25
2026-02-12T14:16:00+00:00,2026-02-12T15:36:00+00:00,SHORT,5.966,5.9365,time,60,73.75
2026-02-17T03:06:00+00:00,2026-02-17T04:13:00+00:00,SHORT,5.726,5.712,time,60,35.0
2026-02-19T10:05:00+00:00,2026-02-19T11:07:00+00:00,SHORT,5.758,5.739,time,60,47.5
2026-02-19T12:38:00+00:00,2026-02-19T13:41:00+00:00,SHORT,5.706,5.715,time,60,-22.5
2026-02-19T13:47:00+00:00,2026-02-19T14:57:00+00:00,SHORT,5.7095,5.715,time,60,-13.75
2026-02-19T17:54:00+00:00,2026-02-19T18:12:00+00:00,SHORT,5.738,5.753,sl,16,-37.5
2026-02-23T15:36:00+00:00,2026-02-23T16:38:00+00:00,SHORT,5.804,5.786,time,60,45.0
2026-02-26T02:43:00+00:00,2026-02-26T03:43:00+00:00,SHORT,5.936,5.955,sl,6,-47.5
