root,symbol,expiration_date,point_value,n_bars,first_date,last_date
SIL,SILU26,2026-09-28T00:00:00Z,1000,244,2025-09-16,2026-09-03
SIL,SILZ26,2026-12-29T00:00:00Z,1000,180,2025-12-17,2026-09-04
MHG,MHGM22,2022-05-26T00:00:00Z,2500,23,2022-04-26,2022-05-26
MHG,MHGN22,2022-06-28T00:00:00Z,2500,44,2022-04-26,2022-06-28
MHG,MHGQ22,2022-07-27T00:00:00Z,2500,64,2022-04-26,2022-07-27
MHG,MHGU22,2022-08-29T00:00:00Z,2500,87,2022-04-26,2022-08-29
MHG,MHGV22,2022-09-28T00:00:00Z,2500,108,2022-04-26,2022-09-28
MHG,MHGX22,2022-10-27T00:00:00Z,2500,129,2022-04-26,2022-10-27
MHG,MHGZ22,2022-11-28T00:00:00Z,2500,150,2022-04-26,2022-11-28
MHG,MHGF23,2022-12-28T00:00:00Z,2500,171,2022-04-26,2022-12-28
MHG,MHGG23,2023-01-27T00:00:00Z,2500,191,2022-04-26,2023-01-27
MHG,MHGH23,2023-02-24T00:00:00Z,2500,210,2022-04-26,2023-02-24
MHG,MHGJ23,2023-03-29T00:00:00Z,2500,233,2022-04-26,2023-03-29
MHG,MHGK23,2023-04-26T00:00:00Z,2500,252,2022-04-26,2023-04-26
MHG,MHGM23,2023-05-26T00:00:00Z,2500,274,2022-04-26,2023-05-26
MHG,MHGN23,2023-06-28T00:00:00Z,2500,295,2022-04-26,2023-06-28
MHG,MHGQ23,2023-07-27T00:00:00Z,2500,315,2022-04-26,2023-07-27
MHG,MHGU23,2023-08-29T00:00:00Z,2500,338,2022-04-26,2023-08-29
MHG,MHGV23,2023-09-27T00:00:00Z,2500,359,2022-04-26,2023-09-27
MHG,MHGX23,2023-10-27T00:00:00Z,2500,380,2022-04-26,2023-10-27
MHG,MHGZ23,2023-11-28T00:00:00Z,2500,401,2022-04-26,2023-11-28
MHG,MHGF24,2023-12-27T00:00:00Z,2500,421,2022-04-26,2023-12-27
MHG,MHGG24,2024-01-29T00:00:00Z,2500,442,2022-04-26,2024-01-29
MHG,MHGH24,2024-02-27T00:00:00Z,2500,462,2022-04-26,2024-02-27
MHG,MHGJ24,2024-03-26T00:00:00Z,2500,480,2022-04-28,2024-03-26
MHG,MHGK24,2024-04-26T00:00:00Z,2500,504,2022-04-26,2024-04-26
MHG,MHGM24,2024-05-29T00:00:00Z,2500,483,2022-06-28,2024-05-29
MHG,MHGN24,2024-06-26T00:00:00Z,2500,545,2022-04-26,2024-06-26
MHG,MHGQ24,2024-07-29T00:00:00Z,2500,480,2022-08-30,2024-07-29
MHG,MHGU24,2024-08-28T00:00:00Z,2500,589,2022-04-26,2024-08-28
MHG,MHGV24,2024-09-26T00:00:00Z,2500,479,2022-10-28,2024-09-26
MHG,MHGX24,2024-10-29T00:00:00Z,2500,482,2022-11-29,2024-10-29
MHG,MHGZ24,2024-11-26T00:00:00Z,2500,652,2022-04-26,2024-11-26
MHG,MHGF25,2024-12-27T00:00:00Z,2500,482,2023-01-30,2024-12-27
MHG,MHGG25,2025-01-29T00:00:00Z,2500,485,2023-02-27,2025-01-29
MHG,MHGH25,2025-02-26T00:00:00Z,2500,713,2022-04-26,2025-02-26
MHG,MHGJ25,2025-03-27T00:00:00Z,2500,483,2023-04-27,2025-03-27
MHG,MHGK25,2025-04-28T00:00:00Z,2500,755,2022-04-26,2025-04-28
MHG,MHGM25,2025-05-28T00:00:00Z,2500,482,2023-06-29,2025-05-28
MHG,MHGN25,2025-06-26T00:00:00Z,2500,797,2022-04-26,2025-06-26
MHG,MHGQ25,2025-07-29T00:00:00Z,2500,257,2024-07-19,2025-07-29
MHG,MHGU25,2025-08-27T00:00:00Z,2500,840,2022-04-26,2025-08-27
MHG,MHGV25,2025-09-26T00:00:00Z,2500,480,2023-10-30,2025-09-26
MHG,MHGX25,2025-10-29T00:00:00Z,2500,481,2023-11-29,2025-10-29
MHG,MHGZ25,2025-11-25T00:00:00Z,2500,900,2022-04-29,2025-11-25
MHG,MHGF26,2025-12-29T00:00:00Z,2500,481,2024-01-30,2025-12-29
MHG,MHGG26,2026-01-28T00:00:00Z,2500,482,2024-02-28,2026-01-28
MHG,MHGH26,2026-02-25T00:00:00Z,2500,900,2022-07-26,2026-02-25
MHG,MHGJ26,2026-03-27T00:00:00Z,2500,479,2024-04-29,2026-03-27
MHG,MHGK26,2026-04-28T00:00:00Z,2500,900,2022-09-23,2026-04-28
MHG,MHGM26,2026-05-27T00:00:00Z,2500,478,2024-06-27,2026-05-27
MHG,MHGN26,2026-06-26T00:00:00Z,2500,900,2022-11-22,2026-06-26
MHG,MHGQ26,2026-07-29T00:00:00Z,2500,477,2024-08-29,2026-07-29
MHG,MHGU26,2026-08-27T00:00:00Z,2500,900,2023-01-26,2026-08-27
MHG,MHGV26,2026-09-28T00:00:00Z,2500,461,2024-10-30,2026-09-03
MHG,MHGX26,2026-10-28T00:00:00Z,2500,442,2024-11-27,2026-09-03
MHG,MHGZ26,2026-11-25T00:00:00Z,2500,901,2023-02-02,2026-09-04
PL,PLF20,2020-01-29T00:00:00Z,50,314,2018-10-29,2020-01-29
PL,PLJ20,2020-04-28T00:00:00Z,50,315,2019-01-29,2020-04-28
PL,PLN20,2020-07-29T00:00:00Z,50,318,2019-04-26,2020-07-29
PL,PLV20,2020-10-28T00:00:00Z,50,318,2019-07-29,2020-10-28
PL,PLF21,2021-01-27T00:00:00Z,50,314,2019-10-29,2021-01-27
PL,PLJ21,2021-04-28T00:00:00Z,50,315,2020-01-29,2021-04-28
PL,PLN21,2021-07-28T00:00:00Z,50,316,2020-04-28,2021-07-28
PL,PLV21,2021-10-27T00:00:00Z,50,316,2020-07-29,2021-10-27
PL,PLF22,2022-01-27T00:00:00Z,50,315,2020-10-28,2022-01-27
PL,PLJ22,2022-04-27T00:00:00Z,50,316,2021-01-27,2022-04-27
PL,PLN22,2022-07-27T00:00:00Z,50,315,2021-04-28,2022-07-27
PL,PLV22,2022-10-27T00:00:00Z,50,317,2021-07-28,2022-10-27
PL,PLF23,2023-01-27T00:00:00Z,50,315,2021-10-27,2023-01-27
PL,PLJ23,2023-04-26T00:00:00Z,50,313,2022-01-27,2023-04-26
PL,PLN23,2023-07-27T00:00:00Z,50,314,2022-04-27,2023-07-27
PL,PLV23,2023-10-27T00:00:00Z,50,317,2022-07-27,2023-10-27
